ptnum,Rout,Cd_x,Cd_y,Cd_z,L,lnRa,lnRb,theta,P_x,P_y,P_z,Rin,analytic_vortex_core_vel_x,analytic_vortex_core_vel_y,analytic_vortex_core_vel_z
0,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.455287218093872,0.0,2.7052602767944336,-0.6344154477119446,0.0,0.2958328127861023,0.699999988079071,1.2084706213499885e-06,0.0,3.274880384651624e-07
1,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.4487242698669434,-0.006563037633895874,2.7052602767944336,-0.6385927796363831,0.0,0.2977807819843292,0.699999988079071,0.0019187239231541753,0.0,0.00412897951900959
2,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.4422039985656738,-0.013083279132843018,2.7052602767944336,-0.6427701711654663,0.0,0.29972872138023376,0.699999988079071,-3.6709182262420654,0.0,-7.872308254241943
3,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.4357260465621948,-0.01956126093864441,2.7052602767944336,-0.6469475626945496,0.0,0.3016766607761383,0.699999988079071,-2.4541845321655273,0.0,-5.263014793395996
4,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.429289698600769,-0.025997579097747803,2.7052602767944336,-0.651124894618988,0.0,0.30362457036972046,0.699999988079071,-1.8455246686935425,0.0,-3.9577460289001465
5,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.4228945970535278,-0.0323927104473114,2.7052602767944336,-0.6553022861480713,0.0,0.305572509765625,0.699999988079071,-1.4800703525543213,0.0,-3.174025297164917
6,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.4165401458740234,-0.03874713182449341,2.7052602767944336,-0.6594796180725098,0.0,0.30752044916152954,0.699999988079071,-1.2362524271011353,0.0,-2.651155948638916
7,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.410225749015808,-0.04506149888038635,2.7052602767944336,-0.663657009601593,0.0,0.30946841835975647,0.699999988079071,-1.0619255304336548,0.0,-2.2773022651672363
8,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.4039510488510132,-0.05133625864982605,2.7052602767944336,-0.6678344011306763,0.0,0.311416357755661,0.699999988079071,-0.9310327172279358,0.0,-1.9966133832931519
9,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.3977153301239014,-0.0575718879699707,2.7052602767944336,-0.6720117926597595,0.0,0.31336429715156555,0.699999988079071,-0.8291134238243103,0.0,-1.77804434299469
10,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.3915183544158936,-0.06376886367797852,2.7052602767944336,-0.676189124584198,0.0,0.3153122365474701,0.699999988079071,-0.7474710941314697,0.0,-1.6029618978500366
11,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.385359764099121,-0.06992754340171814,2.7052602767944336,-0.6803664565086365,0.0,0.31726014614105225,0.699999988079071,-0.6805815696716309,0.0,-1.459513783454895
12,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.3792386054992676,-0.07604873180389404,2.7052602767944336,-0.6845438480377197,0.0,0.3192081153392792,0.699999988079071,-0.6247501373291016,0.0,-1.3397912979125977
13,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.373154640197754,-0.08213260769844055,2.7052602767944336,-0.688721239566803,0.0,0.3211560547351837,0.699999988079071,-0.5774264335632324,0.0,-1.2383114099502563
