ptnum,Rout,Cd_x,Cd_y,Cd_z,L,lnRa,lnRb,theta,P_x,P_y,P_z,Rin,analytic_vortex_core_vel_x,analytic_vortex_core_vel_y,analytic_vortex_core_vel_z
0,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.455287218093872,0.0,0.5235987901687622,0.6062177419662476,0.0,0.3499999940395355,0.699999988079071,-4.248876450674288e-07,0.0,-1.1777606232499238e-06
1,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.4487242698669434,-0.006563037633895874,0.5235987901687622,0.6102094650268555,0.0,0.352304607629776,0.699999988079071,0.0022817272692918777,0.0,-0.003940011374652386
2,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.4422039985656738,-0.013083279132843018,0.5235987901687622,0.6142011880874634,0.0,0.3546092212200165,0.699999988079071,-4.3430657386779785,0.0,7.5224103927612305
3,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.4357260465621948,-0.01956126093864441,0.5235987901687622,0.6181929111480713,0.0,0.35691383481025696,0.699999988079071,-2.9035470485687256,0.0,5.029091835021973
4,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.4292898178100586,-0.025997400283813477,0.5235987901687622,0.6221845149993896,0.0,0.35921841859817505,0.699999988079071,-2.183453321456909,0.0,3.781853199005127
5,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.4228947162628174,-0.032392531633377075,0.5235987901687622,0.6261762380599976,0.0,0.3615230321884155,0.699999988079071,-1.751082420349121,0.0,3.0329558849334717
6,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.4165401458740234,-0.03874713182449341,0.5235987901687622,0.6301679611206055,0.0,0.363827645778656,0.699999988079071,-1.4626147747039795,0.0,2.5333192348480225
7,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.410225749015808,-0.04506149888038635,0.5235987901687622,0.6341596841812134,0.0,0.3661322593688965,0.699999988079071,-1.256361484527588,0.0,2.1760852336883545
8,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.4039510488510132,-0.05133625864982605,0.5235987901687622,0.6381513476371765,0.0,0.36843687295913696,0.699999988079071,-1.1015115976333618,0.0,1.9078675508499146
9,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.3977153301239014,-0.0575718879699707,0.5235987901687622,0.6421430706977844,0.0,0.37074148654937744,0.699999988079071,-0.9809287786483765,0.0,1.6990141868591309
10,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.3915183544158936,-0.06376886367797852,0.5235987901687622,0.6461347937583923,0.0,0.3730461001396179,0.699999988079071,-0.884337842464447,0.0,1.5317134857177734
11,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.3853596448898315,-0.06992760300636292,0.5235987901687622,0.6501264572143555,0.0,0.375350683927536,0.699999988079071,-0.8051956295967102,0.0,1.3946367502212524
12,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.3792386054992676,-0.07604873180389404,0.5235987901687622,0.6541181802749634,0.0,0.3776552975177765,0.699999988079071,-0.7391507625579834,0.0,1.2802380323410034
13,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.373154640197754,-0.08213260769844055,0.5235987901687622,0.6581098437309265,0.0,0.37995991110801697,0.699999988079071,-0.6831671595573425,0.0,1.1832661628723145
14,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.367107629776001,-0.08817970752716064,0.5235987901687622,0.6621015667915344,0.0,0.38226452469825745,0.699999988079071,-0.6351019144058228,0.0,1.1000187397003174
15,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.3610968589782715,-0.09419044852256775,0.5235987901687622,0.6660932898521423,0.0,0.3845691382884979,0.699999988079071,-0.5933665633201599,0.0,1.027735710144043
16,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.3551220893859863,-0.1001652181148529,0.5235987901687622,0.6700849533081055,0.0,0.3868737518787384,0.699999988079071,-0.5567816495895386,0.0,0.9643688797950745
