ptnum,Rout,Cd_x,Cd_y,Cd_z,L,lnRa,lnRb,theta,P_x,P_y,P_z,Rin,analytic_vortex_core_vel_x,analytic_vortex_core_vel_y,analytic_vortex_core_vel_z
0,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.455287218093872,0.0,1.2217304706573486,0.23941411077976227,0.0,0.6577848196029663,0.699999988079071,4.3156708784408693e-07,0.0,-1.175329430225247e-06
1,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.4487242698669434,-0.006563037633895874,1.2217304706573486,0.240990549325943,0.0,0.6621160507202148,0.699999988079071,0.00428049499168992,0.0,-0.0015515581471845508
2,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.4422039985656738,-0.013083279132843018,1.2217304706573486,0.2425670027732849,0.0,0.6664473414421082,0.699999988079071,-8.162293434143066,0.0,2.970831871032715
3,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.4357260465621948,-0.01956126093864441,1.2217304706573486,0.24414345622062683,0.0,0.6707785725593567,0.699999988079071,-5.456883907318115,0.0,1.9861432313919067
4,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.4292898178100586,-0.02599748969078064,1.2217304706573486,0.24571987986564636,0.0,0.6751098036766052,0.699999988079071,-4.103521347045898,0.0,1.4935580492019653
5,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.4228947162628174,-0.03239262104034424,1.2217304706573486,0.24729633331298828,0.0,0.6794410347938538,0.699999988079071,-3.290957450866699,0.0,1.1978085041046143
6,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.4165401458740234,-0.03874713182449341,1.2217304706573486,0.248872771859169,0.0,0.6837723255157471,0.699999988079071,-2.748814105987549,0.0,1.000484585762024
7,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.410225749015808,-0.04506149888038635,1.2217304706573486,0.25044921040534973,0.0,0.6881035566329956,0.699999988079071,-2.361189365386963,0.0,0.8594045042991638
8,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.4039510488510132,-0.05133625864982605,1.2217304706573486,0.25202566385269165,0.0,0.6924348473548889,0.699999988079071,-2.0701606273651123,0.0,0.7534734010696411
9,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.3977153301239014,-0.0575718879699707,1.2217304706573486,0.25360211730003357,0.0,0.6967660784721375,0.699999988079071,-1.8435403108596802,0.0,0.6709915399551392
10,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.3915183544158936,-0.06376886367797852,1.2217304706573486,0.2551785707473755,0.0,0.701097309589386,0.699999988079071,-1.6620086431503296,0.0,0.6049192547798157
