ptnum,Rout,Cd_x,Cd_y,Cd_z,L,lnRa,lnRb,theta,P_x,P_y,P_z,Rin,analytic_vortex_core_vel_x,analytic_vortex_core_vel_y,analytic_vortex_core_vel_z
0,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.455287218093872,0.0,4.71238899230957,8.34741609168077e-09,0.0,-0.699999988079071,0.699999988079071,-8.075267032836564e-07,0.0,9.56843791755091e-07
1,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.4487242698669434,-0.006563037633895874,4.71238899230957,8.402381013183913e-09,0.0,-0.704609215259552,0.699999988079071,-0.004553013946861029,0.0,-6.027798917784821e-06
2,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.4422039985656738,-0.013083279132843018,4.71238899230957,8.457345046508635e-09,0.0,-0.709218442440033,0.699999988079071,8.686131477355957,0.0,-1.8284059422057908e-07
3,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.4357260465621948,-0.01956126093864441,4.71238899230957,8.512309968011778e-09,0.0,-0.7138276696205139,0.699999988079071,5.807094573974609,0.0,-1.7498066995358386e-07
4,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.4292898178100586,-0.02599748969078064,4.71238899230957,8.56727311315808e-09,0.0,-0.7184368371963501,0.699999988079071,4.366875648498535,0.0,1.3245660284155747e-06
5,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.4228947162628174,-0.03239262104034424,4.71238899230957,8.622238034661223e-09,0.0,-0.723046064376831,0.699999988079071,3.5021629333496094,0.0,1.7868791246655746e-06
6,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.4165401458740234,-0.03874713182449341,4.71238899230957,8.677202067985945e-09,0.0,-0.727655291557312,0.699999988079071,2.9252262115478516,0.0,1.8334420701648924e-06
7,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.410225749015808,-0.04506149888038635,4.71238899230957,8.732166989489087e-09,0.0,-0.732264518737793,0.699999988079071,2.512725830078125,0.0,-1.8185679664384224e-06
8,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.4039510488510132,-0.05133625864982605,4.71238899230957,8.78713102281381e-09,0.0,-0.7368737459182739,0.699999988079071,2.2030177116394043,0.0,3.12551287606766e-06
9,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.3977153301239014,-0.0575718879699707,4.71238899230957,8.842095944316952e-09,0.0,-0.7414829730987549,0.699999988079071,1.9618538618087769,0.0,2.0700231289083604e-06
10,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.3915183544158936,-0.06376886367797852,4.71238899230957,8.897060865820094e-09,0.0,-0.7460922002792358,0.699999988079071,1.7686717510223389,0.0,2.1893395114602754e-06
11,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.3853596448898315,-0.06992760300636292,4.71238899230957,8.952024010966397e-09,0.0,-0.750701367855072,0.699999988079071,1.6103886365890503,0.0,1.4580997458324418e-06
12,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.3792386054992676,-0.07604873180389404,4.71238899230957,9.00698893246954e-09,0.0,-0.755310595035553,0.699999988079071,1.478294014930725,0.0,4.340616669651354e-06
13,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.373154640197754,-0.08213260769844055,4.71238899230957,9.061952965794262e-09,0.0,-0.7599198222160339,0.699999988079071,1.3663221597671509,0.0,6.9554498622892424e-06
14,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.367107629776001,-0.08817970752716064,4.71238899230957,9.116917887297404e-09,0.0,-0.7645290493965149,0.699999988079071,1.2701951265335083,0.0,4.936089680995792e-06
15,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.3610968589782715,-0.09419044852256775,4.71238899230957,9.171881920622127e-09,0.0,-0.7691382765769958,0.699999988079071,1.1867284774780273,0.0,2.6647869617590914e-06
16,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.3551219701766968,-0.10016527771949768,4.71238899230957,9.22684684212527e-09,0.0,-0.7737475037574768,0.699999988079071,1.1135544776916504,0.0,3.0225387490645517e-06
17,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.3491827249526978,-0.10610455274581909,4.71238899230957,9.281809987271572e-09,0.0,-0.778356671333313,0.699999988079071,1.0488797426223755,0.0,5.351898835215252e-06
18,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.343278408050537,-0.11200883984565735,4.71238899230957,9.336774908774714e-09,0.0,-0.782965898513794,0.699999988079071,0.9912744164466858,0.0,4.854010512644891e-06
19,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.3374087810516357,-0.11787845194339752,4.71238899230957,9.391738942099437e-09,0.0,-0.7875751256942749,0.699999988079071,0.9396291971206665,0.0,2.2736028313374845e-06
20,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.331573486328125,-0.12371382117271423,4.71238899230957,9.446703863602579e-09,0.0,-0.7921843528747559,0.699999988079071,0.8930230140686035,0.0,5.809314643556718e-06
