ptnum,Rout,Cd_x,Cd_y,Cd_z,L,lnRa,lnRb,theta,P_x,P_y,P_z,Rin,analytic_vortex_core_vel_x,analytic_vortex_core_vel_y,analytic_vortex_core_vel_z
0,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.455287218093872,0.0,2.356194496154785,-0.4949747323989868,0.0,0.4949747323989868,0.699999988079071,1.2475984476623125e-06,0.0,-1.0558306939856266e-07
1,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.4487242698669434,-0.006563037633895874,2.356194496154785,-0.49823394417762756,0.0,0.49823394417762756,0.699999988079071,0.003215204458683729,0.0,0.003223729319870472
2,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.4422039985656738,-0.013083279132843018,2.356194496154785,-0.5014931559562683,0.0,0.5014931559562683,0.699999988079071,-6.142022132873535,0.0,-6.142022132873535
3,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.4357260465621948,-0.01956126093864441,2.356194496154785,-0.5047523975372314,0.0,0.5047523975372314,0.699999988079071,-4.106235980987549,0.0,-4.106235980987549
4,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.429289698600769,-0.025997579097747803,2.356194496154785,-0.5080115795135498,0.0,0.5080115795135498,0.699999988079071,-3.0878546237945557,0.0,-3.0878584384918213
5,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.4228947162628174,-0.032392531633377075,2.356194496154785,-0.5112707614898682,0.0,0.5112707614898682,0.699999988079071,-2.4763967990875244,0.0,-2.476402521133423
6,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.4165401458740234,-0.03874713182449341,2.356194496154785,-0.5145300030708313,0.0,0.5145300030708313,0.699999988079071,-2.068445920944214,0.0,-2.068448781967163
7,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.4102258682250977,-0.04506140947341919,2.356194496154785,-0.5177891850471497,0.0,0.5177891850471497,0.699999988079071,-1.7767678499221802,0.0,-1.7767683267593384
8,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.4039510488510132,-0.05133625864982605,2.356194496154785,-0.5210484266281128,0.0,0.5210484266281128,0.699999988079071,-1.5577664375305176,0.0,-1.5577709674835205
9,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.397715449333191,-0.05757179856300354,2.356194496154785,-0.5243076086044312,0.0,0.5243076086044312,0.699999988079071,-1.3872445821762085,0.0,-1.3872483968734741
10,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.3915183544158936,-0.06376886367797852,2.356194496154785,-0.5275668501853943,0.0,0.5275668501853943,0.699999988079071,-1.2506382465362549,0.0,-1.2506413459777832
11,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.3853596448898315,-0.06992760300636292,2.356194496154785,-0.5308260321617126,0.0,0.5308260321617126,0.699999988079071,-1.1387156248092651,0.0,-1.138717770576477
12,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.3792386054992676,-0.07604873180389404,2.356194496154785,-0.534085214138031,0.0,0.534085214138031,0.699999988079071,-1.0453085899353027,0.0,-1.0453147888183594
