ptnum,Rout,Cd_x,Cd_y,Cd_z,L,lnRa,lnRb,theta,P_x,P_y,P_z,Rin,analytic_vortex_core_vel_x,analytic_vortex_core_vel_y,analytic_vortex_core_vel_z
0,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.455287218093872,0.0,2.96705961227417,-0.6893653869628906,0.0,0.12155380845069885,0.699999988079071,1.0825327763086534e-06,0.0,6.291043064265978e-07
1,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.4487242698669434,-0.006563037633895874,2.96705961227417,-0.6939045786857605,0.0,0.12235419452190399,0.699999988079071,0.0007846867083571851,0.0,0.004484890028834343
2,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.4422039985656738,-0.013083338737487793,2.96705961227417,-0.6984438300132751,0.0,0.12315457314252853,0.699999988079071,-1.5083149671554565,0.0,-8.554061889648438
3,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.4357260465621948,-0.01956126093864441,2.96705961227417,-0.702983021736145,0.0,0.12395495921373367,0.699999988079071,-1.0083919763565063,0.0,-5.718871593475342
4,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.4292898178100586,-0.02599748969078064,2.96705961227417,-0.7075221538543701,0.0,0.12475533038377762,0.699999988079071,-0.7582990527153015,0.0,-4.300533294677734
5,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.4228947162628174,-0.03239262104034424,2.96705961227417,-0.71206134557724,0.0,0.12555572390556335,0.699999988079071,-0.6081427335739136,0.0,-3.4489574432373047
6,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.4165401458740234,-0.03874713182449341,2.96705961227417,-0.7166005373001099,0.0,0.1263561099767685,0.699999988079071,-0.5079586505889893,0.0,-2.8807857036590576
7,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.4102258682250977,-0.04506140947341919,2.96705961227417,-0.7211397290229797,0.0,0.12715648114681244,0.699999988079071,-0.4363308548927307,0.0,-2.474555492401123
8,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.4039510488510132,-0.05133625864982605,2.96705961227417,-0.7256789803504944,0.0,0.12795686721801758,0.699999988079071,-0.3825471103191376,0.0,-2.1695494651794434
9,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.3977153301239014,-0.0575718879699707,2.96705961227417,-0.7302181720733643,0.0,0.12875725328922272,0.699999988079071,-0.34067046642303467,0.0,-1.9320491552352905
10,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.3915183544158936,-0.06376886367797852,2.96705961227417,-0.7347573637962341,0.0,0.12955763936042786,0.699999988079071,-0.30712461471557617,0.0,-1.7418019771575928
11,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.3853596448898315,-0.06992760300636292,2.96705961227417,-0.7392964959144592,0.0,0.1303580105304718,0.699999988079071,-0.27963972091674805,0.0,-1.585923433303833
12,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.3792386054992676,-0.07604873180389404,2.96705961227417,-0.7438356876373291,0.0,0.13115839660167694,0.699999988079071,-0.256698876619339,0.0,-1.4558360576629639
