ptnum,bary_x,bary_y,bary_z,Rout,Cd_x,Cd_y,Cd_z,faceid,theta,P_x,P_y,P_z,vortex_core_vel_x,vortex_core_vel_y,vortex_core_vel_z,Rin,gamma
0,0.2864663302898407,0.7015066742897034,0.012027006596326828,3.0,1.0,0.0,0.0,614,0.24609141051769257,0.6789103746414185,0.0,0.1705305129289627,-0.006402629893273115,0.0,0.016909942030906677,0.699999988079071,1.0
1,0.2749614119529724,0.6918969750404358,0.03314162790775299,3.0,1.0,0.0,0.0,614,0.24609141051769257,0.6833807229995728,0.0,0.1716533750295639,-0.01747194118797779,0.0,0.04583948478102684,0.699999988079071,1.0
2,0.26345622539520264,0.6822872757911682,0.054256509989500046,3.0,1.0,0.0,0.0,614,0.24609141051769257,0.6878511309623718,0.0,0.1727762520313263,-0.028323309496045113,0.0,0.07380407303571701,0.699999988079071,1.0
3,0.25195130705833435,0.6726775765419006,0.07537112385034561,3.0,1.0,0.0,0.0,614,0.24609141051769257,0.6923214793205261,0.0,0.17389912903308868,-0.03895645588636398,0.0,0.10080301016569138,0.699999988079071,1.0
4,0.240446537733078,0.6630679965019226,0.09648546576499939,3.0,1.0,0.0,0.0,614,0.24609141051769257,0.6967917680740356,0.0,0.17502199113368988,-0.049371387809515,0.0,0.12683632969856262,0.699999988079071,1.0
5,0.2289416790008545,0.6534582376480103,0.11760009080171585,3.0,1.0,0.0,0.0,614,0.24609141051769257,0.7012621164321899,0.0,0.17614486813545227,-0.0595683790743351,0.0,0.15190470218658447,0.699999988079071,1.0
6,0.2174367606639862,0.6438485383987427,0.13871470093727112,3.0,1.0,0.0,0.0,614,0.24609141051769257,0.7057324647903442,0.0,0.17726774513721466,-0.06954728066921234,0.0,0.17600777745246887,0.699999988079071,1.0
7,0.20593157410621643,0.6342388391494751,0.15982958674430847,3.0,1.0,0.0,0.0,614,0.24609141051769257,0.7102028727531433,0.0,0.17839062213897705,-0.07930824905633926,0.0,0.1991458535194397,0.699999988079071,1.0
8,0.19442671537399292,0.6246290802955627,0.18094420433044434,3.0,1.0,0.0,0.0,614,0.24609141051769257,0.7146732211112976,0.0,0.17951349914073944,-0.08885098993778229,0.0,0.2213183343410492,0.699999988079071,1.0
9,0.1829218566417694,0.6150193214416504,0.2020588219165802,3.0,1.0,0.0,0.0,614,0.24609141051769257,0.7191435694694519,0.0,0.18063639104366302,-0.09817564487457275,0.0,0.24252553284168243,0.699999988079071,1.0
10,0.17141692340373993,0.6054096221923828,0.22317345440387726,3.0,1.0,0.0,0.0,614,0.24609141051769257,0.7236139178276062,0.0,0.18175925314426422,-0.10728224366903305,0.0,0.2627674341201782,0.699999988079071,1.0
11,0.15991216897964478,0.5958000421524048,0.24428778886795044,3.0,1.0,0.0,0.0,614,0.24609141051769257,0.7280842065811157,0.0,0.18288211524486542,-0.11617062985897064,0.0,0.28204381465911865,0.699999988079071,1.0
12,0.14840692281723022,0.586190402507782,0.2654026746749878,3.0,1.0,0.0,0.0,614,0.24609141051769257,0.7325546145439148,0.0,0.1840049922466278,-0.12484119832515717,0.0,0.30035534501075745,0.699999988079071,1.0
13,0.13690203428268433,0.5765806436538696,0.28651732206344604,3.0,1.0,0.0,0.0,614,0.24609141051769257,0.7370249629020691,0.0,0.1851278692483902,-0.13329355418682098,0.0,0.31770139932632446,0.699999988079071,1.0
14,0.12539717555046082,0.5669708847999573,0.3076319396495819,3.0,1.0,0.0,0.0,614,0.24609141051769257,0.7414953112602234,0.0,0.1862507462501526,-0.14152780175209045,0.0,0.33408212661743164,0.699999988079071,1.0
15,0.11389228701591492,0.5573611855506897,0.3287465274333954,3.0,1.0,0.0,0.0,614,0.24609141051769257,0.7459656596183777,0.0,0.18737362325191498,-0.14954397082328796,0.0,0.34949755668640137,0.699999988079071,1.0
16,0.10238739848136902,0.5477514266967773,0.34986117482185364,3.0,1.0,0.0,0.0,614,0.24609141051769257,0.750436007976532,0.0,0.18849651515483856,-0.1573420763015747,0.0,0.36394771933555603,0.699999988079071,1.0
17,0.09088239073753357,0.5381418466567993,0.3709757626056671,3.0,1.0,0.0,0.0,614,0.24609141051769257,0.7549063563346863,0.0,0.18961936235427856,-0.16492211818695068,0.0,0.37743255496025085,0.699999988079071,1.0
18,0.07937750220298767,0.5285321474075317,0.3920903503894806,3.0,1.0,0.0,0.0,614,0.24609141051769257,0.7593767046928406,0.0,0.19074223935604095,-0.1722840517759323,0.0,0.3899521231651306,0.699999988079071,1.0
19,0.06787258386611938,0.5189224481582642,0.41320496797561646,3.0,1.0,0.0,0.0,614,0.24609141051769257,0.7638470530509949,0.0,0.19186511635780334,-0.17942792177200317,0.0,0.4015063941478729,0.699999988079071,1.0
20,0.05636763572692871,0.5093127489089966,0.4343196153640747,3.0,1.0,0.0,0.0,614,0.24609141051769257,0.7683174014091492,0.0,0.19298799335956573,-0.18635371327400208,0.0,0.41209539771080017,0.699999988079071,1.0
21,0.044862449169158936,0.4997030198574066,0.45543450117111206,3.0,1.0,0.0,0.0,614,0.24609141051769257,0.7727878093719482,0.0,0.19411087036132812,-0.19306154549121857,0.0,0.42171916365623474,0.699999988079071,1.0
22,0.0333576500415802,0.49009326100349426,0.4765491187572479,3.0,1.0,0.0,0.0,614,0.24609141051769257,0.7772581577301025,0.0,0.19523374736309052,-0.19955115020275116,0.0,0.4303776025772095,0.699999988079071,1.0
23,0.021852731704711914,0.4804835617542267,0.4976637363433838,3.0,1.0,0.0,0.0,614,0.24609141051769257,0.7817285060882568,0.0,0.1963566243648529,-0.20582269132137299,0.0,0.43807071447372437,0.699999988079071,1.0
24,0.01034778356552124,0.4708738625049591,0.518778383731842,3.0,1.0,0.0,0.0,614,0.24609141051769257,0.7861988544464111,0.0,0.1974795013666153,-0.21187616884708405,0.0,0.4447985291481018,0.699999988079071,1.0
25,0.0011481046676635742,0.5390813946723938,0.4597705006599426,3.0,1.0,0.0,0.0,1337,0.24609141051769257,0.7906691431999207,0.0,0.1986023634672165,-0.21674668788909912,0.0,0.45082566142082214,0.699999988079071,1.0
26,0.012565135955810547,0.5521280169487,0.4353068470954895,3.0,1.0,0.0,0.0,1337,0.24609141051769257,0.7951395511627197,0.0,0.19972524046897888,-0.2128448635339737,0.0,0.45810219645500183,0.699999988079071,1.0
