ptnum,bary_x,bary_y,bary_z,Rout,Cd_x,Cd_y,Cd_z,faceid,theta,P_x,P_y,P_z,vortex_core_vel_x,vortex_core_vel_y,vortex_core_vel_z,Rin,gamma
0,0.49431419372558594,0.48758718371391296,0.018098607659339905,3.0,1.0,0.0,0.0,596,3.141592502593994,-0.699999988079071,0.0,1.0259829963388256e-07,-0.0008631314267404377,0.0,-0.026956040412187576,0.699999988079071,1.0
1,0.4860478937625885,0.4695350229740143,0.044417109340429306,3.0,1.0,0.0,0.0,596,3.141592502593994,-0.704609215259552,0.0,1.0134828443142396e-07,-0.0022679956164211035,0.0,-0.06491074711084366,0.699999988079071,1.0
2,0.4777815043926239,0.451482892036438,0.07073561102151871,3.0,1.0,0.0,0.0,596,3.141592502593994,-0.709218442440033,0.0,1.0406431982801223e-07,-0.003850285429507494,0.0,-0.10139118134975433,0.699999988079071,1.0
3,0.4695151448249817,0.4334307312965393,0.09705411642789841,3.0,1.0,0.0,0.0,596,3.141592502593994,-0.7138276696205139,0.0,1.0315434906260634e-07,-0.005610004998743534,0.0,-0.1363973617553711,0.699999988079071,1.0
4,0.4612487852573395,0.4153788983821869,0.12337227910757065,3.0,1.0,0.0,0.0,596,3.141592502593994,-0.7184368371963501,0.0,1.1458681115072977e-07,-0.007547114510089159,0.0,-0.16992884874343872,0.699999988079071,1.0
5,0.45298248529434204,0.3973267376422882,0.14969079196453094,3.0,1.0,0.0,0.0,596,3.141592502593994,-0.723046064376831,0.0,1.1435693636485667e-07,-0.009661690331995487,0.0,-0.20198653638362885,0.699999988079071,1.0
6,0.44471609592437744,0.3792745769023895,0.17600928246974945,3.0,1.0,0.0,0.0,596,3.141592502593994,-0.727655291557312,0.0,1.1208678074581258e-07,-0.01195368729531765,0.0,-0.23256991803646088,0.699999988079071,1.0
7,0.4364498257637024,0.36122241616249084,0.20232778787612915,3.0,1.0,0.0,0.0,596,3.141592502593994,-0.732264518737793,0.0,1.1117681708583405e-07,-0.014423124492168427,0.0,-0.261679083108902,0.699999988079071,1.0
8,0.4281834065914154,0.34317025542259216,0.22864630818367004,3.0,1.0,0.0,0.0,596,3.141592502593994,-0.7368737459182739,0.0,1.11627024068639e-07,-0.017069974914193153,0.0,-0.2893139719963074,0.699999988079071,1.0
9,0.4199170768260956,0.32511812448501587,0.25496479868888855,3.0,1.0,0.0,0.0,596,3.141592502593994,-0.7414829730987549,0.0,1.1332291904864178e-07,-0.019894259050488472,0.0,-0.31547456979751587,0.699999988079071,1.0
10,0.41165074706077576,0.3070659637451172,0.28128328919410706,3.0,1.0,0.0,0.0,596,3.141592502593994,-0.7460922002792358,0.0,1.1105277053502505e-07,-0.022895975038409233,0.0,-0.34016090631484985,0.699999988079071,1.0
11,0.4033845067024231,0.2890140414237976,0.3076014518737793,3.0,1.0,0.0,0.0,596,3.141592502593994,-0.750701367855072,0.0,1.1058708793143524e-07,-0.026075076311826706,0.0,-0.36337271332740784,0.699999988079071,1.0
12,0.3951181471347809,0.2709619104862213,0.3339199721813202,3.0,1.0,0.0,0.0,596,3.141592502593994,-0.755310595035553,0.0,1.1500334551328706e-07,-0.029431641101837158,0.0,-0.3851105868816376,0.699999988079071,1.0
13,0.3868517577648163,0.25290974974632263,0.3602384626865387,3.0,1.0,0.0,0.0,596,3.141592502593994,-0.7599198222160339,0.0,1.1273319699967033e-07,-0.032965630292892456,0.0,-0.405374139547348,0.699999988079071,1.0
14,0.3785853981971741,0.23485760390758514,0.3865569829940796,3.0,1.0,0.0,0.0,596,3.141592502593994,-0.7645290493965149,0.0,1.1516642928199872e-07,-0.036677051335573196,0.0,-0.42416349053382874,0.699999988079071,1.0
15,0.37031903862953186,0.21680548787117004,0.4128755033016205,3.0,1.0,0.0,0.0,596,3.141592502593994,-0.7691382765769958,0.0,1.2156571926880133e-07,-0.04056589677929878,0.0,-0.44147858023643494,0.699999988079071,1.0
16,0.36205267906188965,0.19875334203243256,0.4391939640045166,3.0,1.0,0.0,0.0,596,3.141592502593994,-0.7737475037574768,0.0,1.1855823345285899e-07,-0.044632166624069214,0.0,-0.45731931924819946,0.699999988079071,1.0
17,0.353786438703537,0.18070141971111298,0.46551212668418884,3.0,1.0,0.0,0.0,596,3.141592502593994,-0.778356671333313,0.0,1.1809255084926917e-07,-0.04887581989169121,0.0,-0.4716856777667999,0.699999988079071,1.0
18,0.3455200791358948,0.1626492440700531,0.49183064699172974,3.0,1.0,0.0,0.0,596,3.141592502593994,-0.782965898513794,0.0,1.165597325325507e-07,-0.05329695716500282,0.0,-0.4845779836177826,0.699999988079071,1.0
19,0.33725374937057495,0.144597128033638,0.5181491374969482,3.0,1.0,0.0,0.0,596,3.141592502593994,-0.7875751256942749,0.0,1.202386528120769e-07,-0.057895515114068985,0.0,-0.49599602818489075,0.699999988079071,1.0
20,0.3289874196052551,0.12654496729373932,0.5444676280021667,3.0,1.0,0.0,0.0,596,3.141592502593994,-0.7921843528747559,0.0,1.1796851140388753e-07,-0.06267151236534119,0.0,-0.505939781665802,0.699999988079071,1.0
21,0.3207210302352905,0.10849281400442123,0.57078617811203,3.0,1.0,0.0,0.0,596,3.141592502593994,-0.7967935800552368,0.0,1.221305865328759e-07,-0.06762492656707764,0.0,-0.5144093036651611,0.699999988079071,1.0
22,0.3124547004699707,0.09044065326452255,0.5971046686172485,3.0,1.0,0.0,0.0,596,3.141592502593994,-0.8014028072357178,0.0,1.198604309138318e-07,-0.07275577634572983,0.0,-0.5214045643806458,0.699999988079071,1.0
23,0.3041883707046509,0.07238849252462387,0.623423159122467,3.0,1.0,0.0,0.0,596,3.141592502593994,-0.8060120344161987,0.0,1.1759028950564243e-07,-0.07806406170129776,0.0,-0.5269255042076111,0.699999988079071,1.0
24,0.29592204093933105,0.05433633551001549,0.6497416496276855,3.0,1.0,0.0,0.0,596,3.141592502593994,-0.8106212615966797,0.0,1.1581589376419288e-07,-0.08354976773262024,0.0,-0.5309722423553467,0.699999988079071,1.0
25,0.287655770778656,0.03628445789217949,0.6760597825050354,3.0,1.0,0.0,0.0,596,3.141592502593994,-0.8152304291725159,0.0,1.1857893156275168e-07,-0.0892128050327301,0.0,-0.533544659614563,0.699999988079071,1.0
26,0.27938932180404663,0.01823233813047409,0.7023783326148987,3.0,1.0,0.0,0.0,596,3.141592502593994,-0.8198396563529968,0.0,1.2720281006295409e-07,-0.09505332261323929,0.0,-0.5346428155899048,0.699999988079071,1.0
