ptnum,bary_x,bary_y,bary_z,Rout,Cd_x,Cd_y,Cd_z,faceid,theta,P_x,P_y,P_z,vortex_core_vel_x,vortex_core_vel_y,vortex_core_vel_z,Rin,gamma
0,0.0287456214427948,0.6254231929779053,0.3458311855792999,2.0,1.0,0.0,0.0,1701,5.487314701080322,0.699662983417511,0.0,-0.7144730091094971,0.06021355092525482,0.0,0.04559669643640518,1.0,1.0
1,0.05026060342788696,0.6153751611709595,0.33436423540115356,2.0,1.0,0.0,0.0,1701,5.487314701080322,0.7010651230812073,0.0,-0.7159048318862915,0.10381588339805603,0.0,0.07832181453704834,1.0,1.0
2,0.0717754065990448,0.6053272485733032,0.322897344827652,2.0,1.0,0.0,0.0,1701,5.487314701080322,0.7024672627449036,0.0,-0.7173366546630859,0.1461634784936905,0.0,0.10984615236520767,1.0,1.0
3,0.09329020977020264,0.595279335975647,0.3114304542541504,2.0,1.0,0.0,0.0,1701,5.487314701080322,0.7038694024085999,0.0,-0.7187684774398804,0.18725670874118805,0.0,0.14016999304294586,1.0,1.0
4,0.11480417847633362,0.5852317810058594,0.299964040517807,2.0,1.0,0.0,0.0,1701,5.487314701080322,0.7052714824676514,0.0,-0.72020024061203,0.22709403932094574,0.0,0.16929225623607635,1.0,1.0
5,0.13631904125213623,0.5751838088035583,0.2884971499443054,2.0,1.0,0.0,0.0,1701,5.487314701080322,0.7066736221313477,0.0,-0.7216320633888245,0.26567867398262024,0.0,0.1972152441740036,1.0,1.0
6,0.15783384442329407,0.5651358962059021,0.27703025937080383,2.0,1.0,0.0,0.0,1701,5.487314701080322,0.708075761795044,0.0,-0.7230638861656189,0.3030088543891907,0.0,0.22393764555454254,1.0,1.0
7,0.1793486475944519,0.5550879836082458,0.26556336879730225,2.0,1.0,0.0,0.0,1701,5.487314701080322,0.7094779014587402,0.0,-0.7244957089424133,0.339084655046463,0.0,0.24945956468582153,1.0,1.0
8,0.2008635401725769,0.5450400114059448,0.25409644842147827,2.0,1.0,0.0,0.0,1701,5.487314701080322,0.7108800411224365,0.0,-0.7259275317192078,0.3739062249660492,0.0,0.27378109097480774,1.0,1.0
9,0.22237834334373474,0.5349920988082886,0.24262955784797668,2.0,1.0,0.0,0.0,1701,5.487314701080322,0.7122821807861328,0.0,-0.7273593544960022,0.40747326612472534,0.0,0.29690200090408325,1.0,1.0
