ptnum,bary_x,bary_y,bary_z,Rout,Cd_x,Cd_y,Cd_z,faceid,theta,P_x,P_y,P_z,vortex_core_vel_x,vortex_core_vel_y,vortex_core_vel_z,Rin,gamma
0,0.20955711603164673,0.03287633880972862,0.7575665712356567,2.0,1.0,0.0,0.0,1441,3.405137300491333,-0.9654726386070251,0.0,-0.26050445437431335,-0.006860985420644283,0.0,-0.060264840722084045,1.0,1.0
1,0.18469589948654175,0.06831493973731995,0.7469891905784607,2.0,1.0,0.0,0.0,1441,3.405137300491333,-0.9674074649810791,0.0,-0.2610265016555786,-0.01608302630484104,0.0,-0.12241904437541962,1.0,1.0
2,0.15983432531356812,0.10375364869832993,0.7364120483398438,2.0,1.0,0.0,0.0,1441,3.405137300491333,-0.9693422913551331,0.0,-0.26154857873916626,-0.027200009673833847,0.0,-0.18166063725948334,1.0,1.0
3,0.1349731683731079,0.13919223845005035,0.7258346080780029,2.0,1.0,0.0,0.0,1441,3.405137300491333,-0.971277117729187,0.0,-0.2620706260204315,-0.04021172598004341,0.0,-0.23798929154872894,1.0,1.0
4,0.11011290550231934,0.17462971806526184,0.7152574062347412,2.0,1.0,0.0,0.0,1441,3.405137300491333,-0.9732118844985962,0.0,-0.2625926434993744,-0.05511772632598877,0.0,-0.291403591632843,1.0,1.0
5,0.08525127172470093,0.21006840467453003,0.704680323600769,2.0,1.0,0.0,0.0,1441,3.405137300491333,-0.9751467108726501,0.0,-0.26311472058296204,-0.0719192773103714,0.0,-0.341906875371933,1.0,1.0
6,0.06039011478424072,0.24550701677799225,0.6941028833389282,2.0,1.0,0.0,0.0,1441,3.405137300491333,-0.9770815372467041,0.0,-0.2636367678642273,-0.09061544388532639,0.0,-0.3894973695278168,1.0,1.0
7,0.03552883863449097,0.28094562888145447,0.6835255026817322,2.0,1.0,0.0,0.0,1441,3.405137300491333,-0.9790163636207581,0.0,-0.26415881514549255,-0.11120650172233582,0.0,-0.4341750741004944,1.0,1.0
8,0.010667383670806885,0.31638434529304504,0.6729483008384705,2.0,1.0,0.0,0.0,1441,3.405137300491333,-0.980951189994812,0.0,-0.2646808922290802,-0.13369257748126984,0.0,-0.47594013810157776,1.0,1.0
9,0.32762157917022705,0.01089263241738081,0.6614857912063599,2.0,1.0,0.0,0.0,12,3.405137300491333,-0.982886016368866,0.0,-0.26520293951034546,-0.13518956303596497,0.0,-0.5084664821624756,1.0,1.0
10,0.320669949054718,0.029970845207571983,0.6493592262268066,2.0,1.0,0.0,0.0,12,3.405137300491333,-0.9848207235336304,0.0,-0.2657249867916107,-0.12026006728410721,0.0,-0.5347864031791687,1.0,1.0
11,0.31371843814849854,0.049049925059080124,0.6372316479682922,2.0,1.0,0.0,0.0,12,3.405137300491333,-0.9867555499076843,0.0,-0.266247034072876,-0.1057942807674408,0.0,-0.5600570440292358,1.0,1.0
12,0.3067671060562134,0.06812938302755356,0.6251035332679749,2.0,1.0,0.0,0.0,12,3.405137300491333,-0.9886904358863831,0.0,-0.26676908135414124,-0.09179261326789856,0.0,-0.5842774510383606,1.0,1.0
13,0.2998151183128357,0.08720873296260834,0.6129761338233948,2.0,1.0,0.0,0.0,12,3.405137300491333,-0.990625262260437,0.0,-0.2672911584377289,-0.07825534045696259,0.0,-0.6074457764625549,1.0,1.0
