ptnum,bary_x,bary_y,bary_z,Rout,Cd_x,Cd_y,Cd_z,faceid,theta,P_x,P_y,P_z,vortex_core_vel_x,vortex_core_vel_y,vortex_core_vel_z,Rin,gamma
0,1.6093254089355469e-06,8.545179497332356e-08,0.9999983310699463,3.0,1.0,0.0,0.0,611,6.283185005187988,0.699999988079071,0.0,-2.152011120415409e-07,3.4622338773715455e-08,0.0,1.273576373250762e-07,0.699999988079071,1.0
1,0.977109968662262,0.013453727588057518,0.009436296299099922,3.0,1.0,0.0,0.0,610,6.283185005187988,0.704609215259552,0.0,-2.1280946782553656e-07,-0.0015355326468124986,0.0,0.031722839921712875,0.699999988079071,1.0
2,0.9542194604873657,0.026906363666057587,0.018874160945415497,3.0,1.0,0.0,0.0,610,6.283185005187988,0.709218442440033,0.0,-2.1426291141324327e-07,-0.0029493567999452353,0.0,0.062396518886089325,0.699999988079071,1.0
3,0.9313289523124695,0.040358997881412506,0.02831202559173107,3.0,1.0,0.0,0.0,610,6.283185005187988,0.7138276696205139,0.0,-2.1559800700288179e-07,-0.004239859525114298,0.0,0.09202063828706741,0.699999988079071,1.0
4,0.9084388017654419,0.0538114570081234,0.0377497673034668,3.0,1.0,0.0,0.0,610,6.283185005187988,0.7184368371963501,0.0,-2.1694205543099088e-07,-0.005407025571912527,0.0,0.12059482932090759,0.699999988079071,1.0
5,0.8855482935905457,0.06726408749818802,0.04718763008713722,3.0,1.0,0.0,0.0,610,6.283185005187988,0.723046064376831,0.0,-2.1820915208081715e-07,-0.0064508854411542416,0.0,0.14811983704566956,0.699999988079071,1.0
6,0.8626577854156494,0.08071672171354294,0.056625496596097946,3.0,1.0,0.0,0.0,610,6.283185005187988,0.727655291557312,0.0,-2.1937559324669564e-07,-0.0073714242316782475,0.0,0.17459528148174286,0.699999988079071,1.0
7,0.8397672772407532,0.09416936337947845,0.06606335937976837,3.0,1.0,0.0,0.0,610,6.283185005187988,0.732264518737793,0.0,-2.2135267840894812e-07,-0.00816863588988781,0.0,0.2000211775302887,0.699999988079071,1.0
8,0.8168768286705017,0.10762199014425278,0.0755012258887291,3.0,1.0,0.0,0.0,610,6.283185005187988,0.7368737459182739,0.0,-2.2204579863682739e-07,-0.008842532522976398,0.0,0.22439752519130707,0.699999988079071,1.0
9,0.7939863204956055,0.1210746318101883,0.08493909239768982,3.0,1.0,0.0,0.0,610,6.283185005187988,0.7414829730987549,0.0,-2.236855465298504e-07,-0.009393102489411831,0.0,0.24772429466247559,0.699999988079071,1.0
