ptnum,bary_x,bary_y,bary_z,Rout,Cd_x,Cd_y,Cd_z,faceid,theta,P_x,P_y,P_z,vortex_core_vel_x,vortex_core_vel_y,vortex_core_vel_z,Rin,gamma
0,0.9253742098808289,0.0212926734238863,0.0533330999314785,3.0,1.0,0.0,0.0,2230,2.3753931522369385,-0.7205511331558228,0.0,0.6934018135070801,-0.13540558516979218,0.0,-0.07923032343387604,1.0,1.0
1,0.09816217422485352,0.00259093614295125,0.899246871471405,3.0,1.0,0.0,0.0,784,2.3753931522369385,-0.7234391570091248,0.0,0.6961809992790222,-0.24594207108020782,0.0,-0.14666558802127838,1.0,1.0
2,0.1223633885383606,0.026650473475456238,0.850986123085022,3.0,1.0,0.0,0.0,784,2.3753931522369385,-0.7263270616531372,0.0,0.6989601254463196,-0.32253405451774597,0.0,-0.23509247601032257,1.0,1.0
3,0.14656490087509155,0.0507112517952919,0.8027238249778748,3.0,1.0,0.0,0.0,784,2.3753931522369385,-0.7292150855064392,0.0,0.7017393112182617,-0.3925570845603943,0.0,-0.316488116979599,1.0,1.0
4,0.17076647281646729,0.07477201521396637,0.7544615268707275,3.0,1.0,0.0,0.0,784,2.3753931522369385,-0.7321031093597412,0.0,0.7045184969902039,-0.4560093879699707,0.0,-0.39084911346435547,1.0,1.0
5,0.19496756792068481,0.09883159399032593,0.7062008380889893,3.0,1.0,0.0,0.0,784,2.3753931522369385,-0.7349910140037537,0.0,0.7072976231575012,-0.5128892660140991,0.0,-0.45817288756370544,1.0,1.0
6,0.21916913986206055,0.12289232760667801,0.657938539981842,3.0,1.0,0.0,0.0,784,2.3753931522369385,-0.7378790378570557,0.0,0.7100768089294434,-0.5631999373435974,0.0,-0.5184646844863892,1.0,1.0
7,0.2433708906173706,0.14695239067077637,0.609676718711853,3.0,1.0,0.0,0.0,784,2.3753931522369385,-0.7407670021057129,0.0,0.7128559947013855,-0.6069396734237671,0.0,-0.5717209577560425,1.0,1.0
8,0.2675718665122986,0.17101266980171204,0.5614154934883118,3.0,1.0,0.0,0.0,784,2.3753931522369385,-0.7436549663543701,0.0,0.7156351208686829,-0.6441078186035156,0.0,-0.6179425716400146,1.0,1.0
9,0.29177355766296387,0.1950727254152298,0.5131537318229675,3.0,1.0,0.0,0.0,784,2.3753931522369385,-0.7465429306030273,0.0,0.718414306640625,-0.674705982208252,0.0,-0.6571298837661743,1.0,1.0
10,0.3159750699996948,0.21913348138332367,0.4648914337158203,3.0,1.0,0.0,0.0,784,2.3753931522369385,-0.7494309544563293,0.0,0.7211934924125671,-0.6987332701683044,0.0,-0.6892831921577454,1.0,1.0
11,0.3401762843132019,0.24319306015968323,0.41663068532943726,3.0,1.0,0.0,0.0,784,2.3753931522369385,-0.7523188591003418,0.0,0.7239726185798645,-0.7161895632743835,0.0,-0.7144010663032532,1.0,1.0
12,0.36437779664993286,0.2672538161277771,0.36836838722229004,3.0,1.0,0.0,0.0,784,2.3753931522369385,-0.7552068829536438,0.0,0.7267518043518066,-0.7270752787590027,0.0,-0.7324852347373962,1.0,1.0
13,0.38857927918434143,0.29131457209587097,0.3201061189174652,3.0,1.0,0.0,0.0,784,2.3753931522369385,-0.7580949068069458,0.0,0.7295309901237488,-0.731390118598938,0.0,-0.7435347437858582,1.0,1.0
14,0.4127805233001709,0.3153741657733917,0.27184534072875977,3.0,1.0,0.0,0.0,784,2.3753931522369385,-0.7609828114509583,0.0,0.7323101162910461,-0.7291345596313477,0.0,-0.7475495338439941,1.0,1.0
15,0.4369819760322571,0.3394349217414856,0.22358308732509613,3.0,1.0,0.0,0.0,784,2.3753931522369385,-0.7638708353042603,0.0,0.7350893020629883,-0.7203078269958496,0.0,-0.7445299029350281,1.0,1.0
16,0.4611836075782776,0.3634956479072571,0.17532075941562653,3.0,1.0,0.0,0.0,784,2.3753931522369385,-0.7667588591575623,0.0,0.7378684878349304,-0.7049102783203125,0.0,-0.7344756126403809,1.0,1.0
17,0.4853847026824951,0.38755521178245544,0.12706004083156586,3.0,1.0,0.0,0.0,784,2.3753931522369385,-0.7696467638015747,0.0,0.7406476140022278,-0.6829426288604736,0.0,-0.7173871994018555,1.0,1.0
18,0.5095862746238708,0.4116159975528717,0.07879775017499924,3.0,1.0,0.0,0.0,784,2.3753931522369385,-0.7725347876548767,0.0,0.7434267997741699,-0.654403567314148,0.0,-0.6932638883590698,1.0,1.0
19,0.5337879061698914,0.43567606806755066,0.030535975471138954,3.0,1.0,0.0,0.0,784,2.3753931522369385,-0.7754227519035339,0.0,0.7462059855461121,-0.6192939281463623,0.0,-0.6621060371398926,1.0,1.0
20,0.44130417704582214,0.5401346683502197,0.01856115460395813,3.0,1.0,0.0,0.0,3762,2.3753931522369385,-0.7783107757568359,0.0,0.7489851713180542,-0.5876669883728027,0.0,-0.6314101219177246,1.0,1.0
21,0.4151802062988281,0.5157249569892883,0.06909485161304474,3.0,1.0,0.0,0.0,3762,2.3753931522369385,-0.7811986804008484,0.0,0.7517642974853516,-0.5719127655029297,0.0,-0.6119810938835144,1.0,1.0
22,0.38905566930770874,0.491314172744751,0.11963016539812088,3.0,1.0,0.0,0.0,3762,2.3753931522369385,-0.7840867042541504,0.0,0.7545434832572937,-0.5570823550224304,0.0,-0.5933961868286133,1.0,1.0
23,0.3629312217235565,0.46690332889556885,0.17016544938087463,3.0,1.0,0.0,0.0,3762,2.3753931522369385,-0.7869747281074524,0.0,0.7573226690292358,-0.5431761741638184,0.0,-0.5756561160087585,1.0,1.0
24,0.33680713176727295,0.442493736743927,0.22069914638996124,3.0,1.0,0.0,0.0,3762,2.3753931522369385,-0.7898626327514648,0.0,0.7601017951965332,-0.5301946997642517,0.0,-0.5587614178657532,1.0,1.0
25,0.3106826841831207,0.4180828928947449,0.2712344229221344,3.0,1.0,0.0,0.0,3762,2.3753931522369385,-0.7927506566047668,0.0,0.7628809809684753,-0.5181370377540588,0.0,-0.5427109599113464,1.0,1.0
26,0.28455814719200134,0.39367207884788513,0.32176974415779114,3.0,1.0,0.0,0.0,3762,2.3753931522369385,-0.7956386804580688,0.0,0.7656601667404175,-0.5070036053657532,0.0,-0.5275053381919861,1.0,1.0
27,0.25843414664268494,0.3692624568939209,0.37230339646339417,3.0,1.0,0.0,0.0,3762,2.3753931522369385,-0.7985265851020813,0.0,0.7684392929077148,-0.4967948794364929,0.0,-0.5131450891494751,1.0,1.0
28,0.23230966925621033,0.34485161304473877,0.4228387176990509,3.0,1.0,0.0,0.0,3762,2.3753931522369385,-0.8014146089553833,0.0,0.771218478679657,-0.4875100255012512,0.0,-0.49962911009788513,1.0,1.0
29,0.20618519186973572,0.32044079899787903,0.47337403893470764,3.0,1.0,0.0,0.0,3762,2.3753931522369385,-0.8043026328086853,0.0,0.7739976644515991,-0.4791494905948639,0.0,-0.48695799708366394,1.0,1.0
30,0.18006175756454468,0.2960309684276581,0.5239072442054749,3.0,1.0,0.0,0.0,3762,2.3753931522369385,-0.8071905374526978,0.0,0.7767767310142517,-0.47171342372894287,0.0,-0.4751321077346802,1.0,1.0
