ptnum,bary_x,bary_y,bary_z,Rout,Cd_x,Cd_y,Cd_z,faceid,theta,P_x,P_y,P_z,vortex_core_vel_x,vortex_core_vel_y,vortex_core_vel_z,Rin,gamma
0,0.04478621482849121,0.006072194781154394,0.9491415619850159,2.0,1.0,0.0,0.0,1425,3.803072214126587,-0.7890841960906982,0.0,-0.6142850518226624,0.001450296025723219,0.0,-0.011206166818737984,1.0,1.0
1,0.013365447521209717,0.032677602022886276,0.9539569616317749,2.0,1.0,0.0,0.0,1425,3.803072214126587,-0.7906655669212341,0.0,-0.6155160665512085,0.005715715233236551,0.0,-0.05735323205590248,1.0,1.0
2,0.0442047119140625,0.010103588923811913,0.945691704750061,2.0,1.0,0.0,0.0,9,3.803072214126587,-0.7922468781471252,0.0,-0.6167471408843994,0.023832838982343674,0.0,-0.09596865624189377,1.0,1.0
3,0.04457145929336548,0.02768568880856037,0.9277428388595581,2.0,1.0,0.0,0.0,9,3.803072214126587,-0.7938282489776611,0.0,-0.6179781556129456,0.05336469039320946,0.0,-0.13077355921268463,1.0,1.0
4,0.04493749141693115,0.04526738449931145,0.9097951054573059,2.0,1.0,0.0,0.0,9,3.803072214126587,-0.7954095005989075,0.0,-0.6192091703414917,0.08209220319986343,0.0,-0.16459494829177856,1.0,1.0
5,0.04530388116836548,0.0628492683172226,0.8918468356132507,2.0,1.0,0.0,0.0,9,3.803072214126587,-0.7969908118247986,0.0,-0.6204401850700378,0.11001648008823395,0.0,-0.19743569195270538,1.0,1.0
6,0.045670151710510254,0.0804319828748703,0.8738978505134583,2.0,1.0,0.0,0.0,9,3.803072214126587,-0.7985721826553345,0.0,-0.6216712594032288,0.13713844120502472,0.0,-0.22929611802101135,1.0,1.0
7,0.04603683948516846,0.09801408648490906,0.8559490442276001,2.0,1.0,0.0,0.0,9,3.803072214126587,-0.8001535534858704,0.0,-0.6229022741317749,0.16345584392547607,0.0,-0.26017439365386963,1.0,1.0
8,0.04640275239944458,0.11559658497571945,0.8380006551742554,2.0,1.0,0.0,0.0,9,3.803072214126587,-0.8017348647117615,0.0,-0.6241333484649658,0.18897020816802979,0.0,-0.29007068276405334,1.0,1.0
9,0.04676949977874756,0.1331786811351776,0.8200517892837524,2.0,1.0,0.0,0.0,9,3.803072214126587,-0.8033162355422974,0.0,-0.625364363193512,0.21368037164211273,0.0,-0.3189857602119446,1.0,1.0
10,0.04713594913482666,0.15075980126857758,0.8021042346954346,2.0,1.0,0.0,0.0,9,3.803072214126587,-0.8048974871635437,0.0,-0.6265953183174133,0.2375856190919876,0.0,-0.3469173312187195,1.0,1.0
11,0.04750192165374756,0.16834229230880737,0.7841557860374451,2.0,1.0,0.0,0.0,9,3.803072214126587,-0.8064787983894348,0.0,-0.6278263926506042,0.2606891691684723,0.0,-0.373868852853775,1.0,1.0
12,0.04786860942840576,0.18592439591884613,0.7662069797515869,2.0,1.0,0.0,0.0,9,3.803072214126587,-0.8080601692199707,0.0,-0.6290574073791504,0.2829885482788086,0.0,-0.39983898401260376,1.0,1.0
13,0.048234522342681885,0.20350690186023712,0.7482585906982422,2.0,1.0,0.0,0.0,9,3.803072214126587,-0.8096414804458618,0.0,-0.6302884817123413,0.30448487401008606,0.0,-0.4248272478580475,1.0,1.0
14,0.04860126972198486,0.22108900547027588,0.7303097248077393,2.0,1.0,0.0,0.0,9,3.803072214126587,-0.8112228512763977,0.0,-0.6315194964408875,0.32517701387405396,0.0,-0.4488341808319092,1.0,1.0
