ptnum,bary_x,bary_y,bary_z,Rout,Cd_x,Cd_y,Cd_z,faceid,theta,P_x,P_y,P_z,vortex_core_vel_x,vortex_core_vel_y,vortex_core_vel_z,Rin,gamma
0,0.1791222095489502,0.013244293630123138,0.8076335191726685,2.0,1.0,0.0,0.0,911,2.8204519748687744,-0.47443798184394836,0.0,0.1578245609998703,-0.018391912803053856,0.0,-0.03028753772377968,0.5,1.0
1,0.16139358282089233,0.042158082127571106,0.7964483499526978,2.0,1.0,0.0,0.0,911,2.8204519748687744,-0.4772903323173523,0.0,0.15877342224121094,-0.05784664303064346,0.0,-0.09425383061170578,0.5,1.0
2,0.14366501569747925,0.07107149809598923,0.7852634787559509,2.0,1.0,0.0,0.0,911,2.8204519748687744,-0.48014265298843384,0.0,0.1597222536802292,-0.0963449776172638,0.0,-0.15526360273361206,0.5,1.0
3,0.1259363293647766,0.09998524188995361,0.7740784287452698,2.0,1.0,0.0,0.0,911,2.8204519748687744,-0.48299500346183777,0.0,0.16067110002040863,-0.1338878571987152,0.0,-0.2133183628320694,0.5,1.0
4,0.10820811986923218,0.12889844179153442,0.7628934383392334,2.0,1.0,0.0,0.0,911,2.8204519748687744,-0.4858472943305969,0.0,0.16161994636058807,-0.170474112033844,0.0,-0.2684163749217987,0.5,1.0
5,0.09047913551330566,0.1578124463558197,0.7517083883285522,2.0,1.0,0.0,0.0,911,2.8204519748687744,-0.48869967460632324,0.0,0.16256879270076752,-0.2061055302619934,0.0,-0.32056015729904175,0.5,1.0
6,0.07275080680847168,0.1867256462574005,0.7405235767364502,2.0,1.0,0.0,0.0,911,2.8204519748687744,-0.4915519654750824,0.0,0.16351762413978577,-0.2407800555229187,0.0,-0.3697468638420105,0.5,1.0
7,0.05502188205718994,0.21563969552516937,0.7293384075164795,2.0,1.0,0.0,0.0,911,2.8204519748687744,-0.4944043457508087,0.0,0.1644664853811264,-0.27449968457221985,0.0,-0.41597920656204224,0.5,1.0
8,0.03729361295700073,0.2445528507232666,0.7181535363197327,2.0,1.0,0.0,0.0,911,2.8204519748687744,-0.49725663661956787,0.0,0.16541531682014465,-0.3072623908519745,0.0,-0.45925450325012207,0.5,1.0
9,0.01956474781036377,0.27346688508987427,0.706968367099762,2.0,1.0,0.0,0.0,911,2.8204519748687744,-0.5001090168952942,0.0,0.1663641780614853,-0.3390701711177826,0.0,-0.4995753765106201,0.5,1.0
10,0.0018366575241088867,0.3023798167705536,0.6957834959030151,2.0,1.0,0.0,0.0,911,2.8204519748687744,-0.502961277961731,0.0,0.16731300950050354,-0.3699208199977875,0.0,-0.5369390845298767,0.5,1.0
11,0.014332294464111328,0.6659819483757019,0.31968575716018677,2.0,1.0,0.0,0.0,1914,2.8204519748687744,-0.5058136582374573,0.0,0.16826187074184418,-0.3769952654838562,0.0,-0.581115186214447,0.5,1.0
