ptnum,bary_x,bary_y,bary_z,Rout,Cd_x,Cd_y,Cd_z,faceid,theta,P_x,P_y,P_z,vortex_core_vel_x,vortex_core_vel_y,vortex_core_vel_z,Rin,gamma
0,0.04490178823471069,0.16212448477745056,0.7929736971855164,2.0,1.0,0.0,0.0,1703,5.253440856933594,0.5150378942489624,0.0,-0.8571674227714539,0.10116367042064667,0.0,0.08147604763507843,1.0,1.0
1,0.06546330451965332,0.15265966951847076,0.7818770408630371,2.0,1.0,0.0,0.0,1703,5.253440856933594,0.5160700678825378,0.0,-0.8588852286338806,0.1450672745704651,0.0,0.11732283979654312,1.0,1.0
2,0.08602398633956909,0.14319495856761932,0.7707810401916504,2.0,1.0,0.0,0.0,1703,5.253440856933594,0.5171021819114685,0.0,-0.8606029748916626,0.18744802474975586,0.0,0.1522492915391922,1.0,1.0
3,0.10658544301986694,0.1337302029132843,0.7596843838691711,2.0,1.0,0.0,0.0,1703,5.253440856933594,0.518134355545044,0.0,-0.8623207807540894,0.2283092886209488,0.0,0.18625812232494354,1.0,1.0
4,0.1271451711654663,0.12426569312810898,0.7485891580581665,2.0,1.0,0.0,0.0,1703,5.253440856933594,0.5191664099693298,0.0,-0.8640384674072266,0.2676461637020111,0.0,0.2193453162908554,1.0,1.0
5,0.1477067470550537,0.1148008331656456,0.7374924421310425,2.0,1.0,0.0,0.0,1703,5.253440856933594,0.5201985836029053,0.0,-0.8657562732696533,0.3054655194282532,0.0,0.2515164911746979,1.0,1.0
6,0.16826772689819336,0.10533656924962997,0.7263957262039185,2.0,1.0,0.0,0.0,1703,5.253440856933594,0.5212307572364807,0.0,-0.8674740195274353,0.3417626917362213,0.0,0.28276774287223816,1.0,1.0
7,0.18882888555526733,0.09587130695581436,0.7152997851371765,2.0,1.0,0.0,0.0,1703,5.253440856933594,0.5222628712654114,0.0,-0.8691918253898621,0.37653905153274536,0.0,0.31310054659843445,1.0,1.0
8,0.2093902826309204,0.08640652149915695,0.704203188419342,2.0,1.0,0.0,0.0,1703,5.253440856933594,0.5232950448989868,0.0,-0.8709096312522888,0.40979474782943726,0.0,0.34251463413238525,1.0,1.0
9,0.22995102405548096,0.07694181054830551,0.6931071877479553,2.0,1.0,0.0,0.0,1703,5.253440856933594,0.5243271589279175,0.0,-0.8726273775100708,0.4415283501148224,0.0,0.371008962392807,1.0,1.0
10,0.250511109828949,0.06747773289680481,0.6820111870765686,2.0,1.0,0.0,0.0,1703,5.253440856933594,0.5253592729568481,0.0,-0.874345064163208,0.4717399775981903,0.0,0.39858344197273254,1.0,1.0
11,0.2710725665092468,0.05801291763782501,0.6709145307540894,2.0,1.0,0.0,0.0,1703,5.253440856933594,0.5263914465904236,0.0,-0.8760628700256348,0.500432550907135,0.0,0.42524081468582153,1.0,1.0
12,0.2916337251663208,0.0485476553440094,0.6598186492919922,2.0,1.0,0.0,0.0,1703,5.253440856933594,0.5274235606193542,0.0,-0.8777806758880615,0.5276035666465759,0.0,0.4509791433811188,1.0,1.0
13,0.3121946454048157,0.03908342123031616,0.6487219333648682,2.0,1.0,0.0,0.0,1703,5.253440856933594,0.5284557342529297,0.0,-0.8794984221458435,0.5532532334327698,0.0,0.4757978916168213,1.0,1.0
