ptnum,bary_x,bary_y,bary_z,Rout,Cd_x,Cd_y,Cd_z,faceid,theta,P_x,P_y,P_z,vortex_core_vel_x,vortex_core_vel_y,vortex_core_vel_z,Rin,gamma
0,0.44664502143859863,0.5210554599761963,0.03229951113462448,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.68708735704422,0.0,0.7265748381614685,-0.06290556490421295,0.0,-0.06366130709648132,1.0,1.0
1,0.4396341145038605,0.5078062415122986,0.05255965515971184,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.6884642839431763,0.0,0.7280309200286865,-0.10082978755235672,0.0,-0.10189537703990936,1.0,1.0
2,0.4326235055923462,0.4945563077926636,0.07282020151615143,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.6898412704467773,0.0,0.7294870018959045,-0.1375722438097,0.0,-0.1388210654258728,1.0,1.0
3,0.42561256885528564,0.48130708932876587,0.09308034181594849,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.6912181973457336,0.0,0.7309430837631226,-0.17313143610954285,0.0,-0.17443694174289703,1.0,1.0
4,0.41860243678092957,0.468058317899704,0.11333920806646347,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.6925950646400452,0.0,0.732399046421051,-0.20750603079795837,0.0,-0.20874157547950745,1.0,1.0
5,0.41159147024154663,0.45480915904045105,0.13359932601451874,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.6939719915390015,0.0,0.733855128288269,-0.24070025980472565,0.0,-0.24173934757709503,1.0,1.0
6,0.40458065271377563,0.44155994057655334,0.1538594514131546,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.6953489184379578,0.0,0.7353112101554871,-0.2727120518684387,0.0,-0.2734280824661255,1.0,1.0
7,0.3975696563720703,0.42831072211265564,0.17411959171295166,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.6967258453369141,0.0,0.7367672920227051,-0.30354130268096924,0.0,-0.30380770564079285,1.0,1.0
8,0.39055901765823364,0.415060818195343,0.19438014924526215,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.6981028318405151,0.0,0.7382233738899231,-0.3331887423992157,0.0,-0.33287879824638367,1.0,1.0
9,0.3835481107234955,0.4018115997314453,0.2146402895450592,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.6994797587394714,0.0,0.7396794557571411,-0.36165302991867065,0.0,-0.360640287399292,1.0,1.0
10,0.3765380382537842,0.3885628283023834,0.2348991483449936,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.700856626033783,0.0,0.7411354184150696,-0.3889331817626953,0.0,-0.3870909512042999,1.0,1.0
11,0.36952710151672363,0.3753136098384857,0.25515925884246826,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.7022335529327393,0.0,0.7425915002822876,-0.4150324761867523,0.0,-0.4122343063354492,1.0,1.0
12,0.3625161051750183,0.3620644509792328,0.2754194140434265,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.7036104798316956,0.0,0.7440475821495056,-0.4399493634700775,0.0,-0.43606865406036377,1.0,1.0
13,0.3555055558681488,0.3488144874572754,0.2956799566745758,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.7049874663352966,0.0,0.7455036640167236,-0.4636842906475067,0.0,-0.4585942029953003,1.0,1.0
14,0.34849461913108826,0.3355652689933777,0.31594011187553406,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.7063643932342529,0.0,0.7469597458839417,-0.4862361550331116,0.0,-0.47981035709381104,1.0,1.0
15,0.3414836525917053,0.32231611013412476,0.3362002372741699,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.7077413201332092,0.0,0.7484158277511597,-0.5076054930686951,0.0,-0.49971744418144226,1.0,1.0
16,0.334473580121994,0.3090673089027405,0.3564591109752655,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.7091181874275208,0.0,0.7498717904090881,-0.5277912020683289,0.0,-0.5183141231536865,1.0,1.0
17,0.32746270298957825,0.29581812024116516,0.376719206571579,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.710495114326477,0.0,0.7513278722763062,-0.5467956066131592,0.0,-0.5356031060218811,1.0,1.0
18,0.32045167684555054,0.28256890177726746,0.3969793915748596,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.7118720412254333,0.0,0.7527839541435242,-0.5646175146102905,0.0,-0.5515830516815186,1.0,1.0
19,0.31344112753868103,0.26931896805763245,0.4172399342060089,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.7132490277290344,0.0,0.7542400360107422,-0.5812574625015259,0.0,-0.5662540197372437,1.0,1.0
20,0.3064301311969757,0.25606977939605713,0.43750008940696716,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.7146259546279907,0.0,0.7556961178779602,-0.5967143774032593,0.0,-0.5796157717704773,1.0,1.0
21,0.29941925406455994,0.24282056093215942,0.45776018500328064,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.716002881526947,0.0,0.7571521997451782,-0.6109887957572937,0.0,-0.5916683673858643,1.0,1.0
22,0.29240909218788147,0.22957178950309753,0.4780190885066986,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.7173797488212585,0.0,0.7586081624031067,-0.6240800023078918,0.0,-0.602411150932312,1.0,1.0
23,0.2853982150554657,0.21632260084152222,0.4982791841030121,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.7187566757202148,0.0,0.7600642442703247,-0.6359895467758179,0.0,-0.6118457317352295,1.0,1.0
24,0.2783876061439514,0.203072652220726,0.5185397267341614,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.7201336622238159,0.0,0.7615203261375427,-0.6467168927192688,0.0,-0.6199710965156555,1.0,1.0
25,0.27137666940689087,0.1898234635591507,0.5387998819351196,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.7215105891227722,0.0,0.7629764080047607,-0.6562614440917969,0.0,-0.6267876029014587,1.0,1.0
26,0.2643657922744751,0.17657425999641418,0.5590599775314331,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.7228875160217285,0.0,0.7644324898719788,-0.6646234393119812,0.0,-0.6322948932647705,1.0,1.0
27,0.257355272769928,0.16332492232322693,0.5793197751045227,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.7242644429206848,0.0,0.765888512134552,-0.6718028783798218,0.0,-0.6364928483963013,1.0,1.0
28,0.25034475326538086,0.15007629990577698,0.5995789766311646,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.7256413102149963,0.0,0.7673445343971252,-0.6777997612953186,0.0,-0.6393819451332092,1.0,1.0
29,0.24333375692367554,0.13682708144187927,0.6198391318321228,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.7270182371139526,0.0,0.7688006162643433,-0.682614266872406,0.0,-0.6409621238708496,1.0,1.0
30,0.23632311820983887,0.12357715517282486,0.6400997042655945,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.7283952236175537,0.0,0.7702566981315613,-0.6862466335296631,0.0,-0.6412329077720642,1.0,1.0
31,0.22931218147277832,0.11032794415950775,0.6603598594665527,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.72977215051651,0.0,0.7717127799987793,-0.6886962056159973,0.0,-0.6401949524879456,1.0,1.0
32,0.22230130434036255,0.09707875549793243,0.6806199550628662,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.7311490774154663,0.0,0.7731688618659973,-0.6899633407592773,0.0,-0.637847900390625,1.0,1.0
33,0.21529090404510498,0.08382940292358398,0.700879693031311,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.7325260043144226,0.0,0.7746248841285706,-0.690048098564148,0.0,-0.6341915130615234,1.0,1.0
34,0.2082802653312683,0.07058078050613403,0.7211389541625977,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.7339028716087341,0.0,0.7760809063911438,-0.68895024061203,0.0,-0.629226565361023,1.0,1.0
35,0.20126962661743164,0.05733082443475723,0.7413995265960693,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.7352798581123352,0.0,0.7775369882583618,-0.6866700649261475,0.0,-0.6229518055915833,1.0,1.0
36,0.1942586898803711,0.04408164322376251,0.7616596817970276,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.7366567850112915,0.0,0.7789930701255798,-0.6832072734832764,0.0,-0.6153685450553894,1.0,1.0
37,0.18724775314331055,0.030832430347800255,0.7819198369979858,2.0,1.0,0.0,0.0,1417,2.3282690048217773,-0.7380337119102478,0.0,0.7804491519927979,-0.6785619258880615,0.0,-0.6064761281013489,1.0,1.0
