ptnum,bary_x,bary_y,bary_z,Rout,Cd_x,Cd_y,Cd_z,faceid,theta,P_x,P_y,P_z,vortex_core_vel_x,vortex_core_vel_y,vortex_core_vel_z,Rin,gamma
0,0.3157108724117279,0.657291829586029,0.02699730359017849,2.0,1.0,0.0,0.0,1163,4.410446643829346,-0.29737523198127747,0.0,-0.9547606706619263,0.07020421326160431,0.0,-0.010518396273255348,1.0,1.0
1,0.3046562969684601,0.6466137170791626,0.04872998222708702,2.0,1.0,0.0,0.0,1163,4.410446643829346,-0.2979711890220642,0.0,-0.9566740393638611,0.12483104318380356,0.0,-0.018420208245515823,1.0,1.0
2,0.29360219836235046,0.6359351873397827,0.07046260684728622,2.0,1.0,0.0,0.0,1163,4.410446643829346,-0.29856711626052856,0.0,-0.9585874080657959,0.17777444422245026,0.0,-0.02581770531833172,1.0,1.0
3,0.2825476825237274,0.6252570152282715,0.0921952947974205,2.0,1.0,0.0,0.0,1163,4.410446643829346,-0.2991630733013153,0.0,-0.9605007767677307,0.22903472185134888,0.0,-0.03271085023880005,1.0,1.0
4,0.27149373292922974,0.6145796179771423,0.11392664909362793,2.0,1.0,0.0,0.0,1163,4.410446643829346,-0.29975900053977966,0.0,-0.962414026260376,0.2786087095737457,0.0,-0.03909924998879433,1.0,1.0
5,0.26043957471847534,0.6039011478424072,0.13565926253795624,2.0,1.0,0.0,0.0,1163,4.410446643829346,-0.300354927778244,0.0,-0.9643273949623108,0.32650235295295715,0.0,-0.04498378187417984,1.0,1.0
6,0.2493850141763687,0.5932230353355408,0.15739195048809052,2.0,1.0,0.0,0.0,1163,4.410446643829346,-0.30095088481903076,0.0,-0.9662407636642456,0.3727128505706787,0.0,-0.050363920629024506,1.0,1.0
7,0.23833055794239044,0.5825448036193848,0.1791246384382248,2.0,1.0,0.0,0.0,1163,4.410446643829346,-0.3015468418598175,0.0,-0.9681541323661804,0.41724008321762085,0.0,-0.05523974075913429,1.0,1.0
8,0.2272762954235077,0.5718664526939392,0.2008572518825531,2.0,1.0,0.0,0.0,1163,4.410446643829346,-0.30214276909828186,0.0,-0.9700675010681152,0.46008384227752686,0.0,-0.059611253440380096,1.0,1.0
9,0.21622183918952942,0.5611882209777832,0.22258993983268738,2.0,1.0,0.0,0.0,1163,4.410446643829346,-0.3027387261390686,0.0,-0.97198086977005,0.5012444853782654,0.0,-0.06347839534282684,1.0,1.0
10,0.20516787469387054,0.550510823726654,0.2443213015794754,2.0,1.0,0.0,0.0,1163,4.410446643829346,-0.30333465337753296,0.0,-0.9738941192626953,0.5407195091247559,0.0,-0.06684093922376633,1.0,1.0
11,0.19411373138427734,0.539832353591919,0.2660539150238037,2.0,1.0,0.0,0.0,1163,4.410446643829346,-0.3039305806159973,0.0,-0.9758074879646301,0.578513503074646,0.0,-0.06969953328371048,1.0,1.0
