ptnum,bary_x,bary_y,bary_z,Rout,Cd_x,Cd_y,Cd_z,faceid,theta,P_x,P_y,P_z,vortex_core_vel_x,vortex_core_vel_y,vortex_core_vel_z,Rin,gamma
0,0.2529136538505554,0.7320089340209961,0.015077418647706509,3.0,1.0,0.0,0.0,601,3.665191173553467,-0.6062178611755371,0.0,-0.3499998450279236,0.01178964227437973,0.0,-0.0269498098641634,0.699999988079071,1.0
1,0.2574616074562073,0.6982548236846924,0.044283557683229446,3.0,1.0,0.0,0.0,601,3.665191173553467,-0.6102095246315002,0.0,-0.35230445861816406,0.0333615243434906,0.0,-0.07693638652563095,0.699999988079071,1.0
2,0.2620093822479248,0.6645005941390991,0.07349000871181488,3.0,1.0,0.0,0.0,601,3.665191173553467,-0.6142012476921082,0.0,-0.35460907220840454,0.05326426029205322,0.0,-0.12399872392416,0.699999988079071,1.0
3,0.26655715703964233,0.6307463645935059,0.1026964783668518,3.0,1.0,0.0,0.0,601,3.665191173553467,-0.6181929707527161,0.0,-0.356913685798645,0.07149762660264969,0.0,-0.16813629865646362,0.699999988079071,1.0
4,0.27110493183135986,0.596992552280426,0.1319025307893753,3.0,1.0,0.0,0.0,601,3.665191173553467,-0.6221846342086792,0.0,-0.3592182695865631,0.0880613774061203,0.0,-0.20934849977493286,0.699999988079071,1.0
5,0.27565276622772217,0.563238263130188,0.16110897064208984,3.0,1.0,0.0,0.0,601,3.665191173553467,-0.6261763572692871,0.0,-0.3615228831768036,0.10295596718788147,0.0,-0.24763646721839905,0.699999988079071,1.0
6,0.280200719833374,0.5294841527938843,0.1903151124715805,3.0,1.0,0.0,0.0,601,3.665191173553467,-0.6301680207252502,0.0,-0.36382749676704407,0.11618101596832275,0.0,-0.2829992473125458,0.699999988079071,1.0
7,0.28474855422973633,0.49572989344596863,0.21952153742313385,3.0,1.0,0.0,0.0,601,3.665191173553467,-0.6341597437858582,0.0,-0.36613211035728455,0.12773683667182922,0.0,-0.3154376447200775,0.699999988079071,1.0
8,0.28929632902145386,0.46197569370269775,0.24872799217700958,3.0,1.0,0.0,0.0,601,3.665191173553467,-0.6381514668464661,0.0,-0.368436723947525,0.13762331008911133,0.0,-0.3449512720108032,0.699999988079071,1.0
9,0.293844074010849,0.4282214343547821,0.2779344618320465,3.0,1.0,0.0,0.0,601,3.665191173553467,-0.642143189907074,0.0,-0.3707413375377655,0.14584039151668549,0.0,-0.3715401291847229,0.699999988079071,1.0
