ptnum,bary_x,bary_y,bary_z,Rout,Cd_x,Cd_y,Cd_z,faceid,theta,P_x,P_y,P_z,vortex_core_vel_x,vortex_core_vel_y,vortex_core_vel_z,Rin,gamma
0,0.9225283861160278,0.02905263938009739,0.04841899871826172,3.0,1.0,0.0,0.0,576,2.3753931522369385,-1.4411022663116455,0.0,1.3868036270141602,-0.0601208359003067,0.0,-0.04000328108668327,2.0,1.0
1,0.9160333871841431,0.0248088575899601,0.05915772542357445,3.0,1.0,0.0,0.0,576,2.3753931522369385,-1.4425461292266846,0.0,1.388193130493164,-0.07295627146959305,0.0,-0.048409294337034225,2.0,1.0
2,0.9095373749732971,0.020564397796988487,0.06989825516939163,3.0,1.0,0.0,0.0,576,2.3753931522369385,-1.4439902305603027,0.0,1.389582872390747,-0.08561279624700546,0.0,-0.05664742365479469,2.0,1.0
3,0.9030425548553467,0.01631999760866165,0.08063744008541107,3.0,1.0,0.0,0.0,576,2.3753931522369385,-1.4454342126846313,0.0,1.390972375869751,-0.09808670729398727,0.0,-0.06471522152423859,2.0,1.0
4,0.896547257900238,0.012075260281562805,0.09137751907110214,3.0,1.0,0.0,0.0,576,2.3753931522369385,-1.4468783140182495,0.0,1.3923619985580444,-0.1103806123137474,0.0,-0.0726143941283226,2.0,1.0
5,0.890052318572998,0.007831476628780365,0.10211624950170517,3.0,1.0,0.0,0.0,576,2.3753931522369385,-1.4483221769332886,0.0,1.3937515020370483,-0.12249191105365753,0.0,-0.0803433209657669,2.0,1.0
6,0.8835562467575073,0.0035870198626071215,0.11285677552223206,3.0,1.0,0.0,0.0,576,2.3753931522369385,-1.4497662782669067,0.0,1.3951412439346313,-0.13442416489124298,0.0,-0.08790423721075058,2.0,1.0
7,0.0007537752389907837,0.8762166500091553,0.12302957475185394,3.0,1.0,0.0,0.0,220,2.3753931522369385,-1.4512102603912354,0.0,1.3965307474136353,-0.14580249786376953,0.0,-0.09575893729925156,2.0,1.0
8,0.00561976432800293,0.8642682433128357,0.13011199235916138,3.0,1.0,0.0,0.0,220,2.3753931522369385,-1.4526541233062744,0.0,1.3979202508926392,-0.15496425330638885,0.0,-0.10594364255666733,2.0,1.0
9,0.010486975312232971,0.8523181080818176,0.1371949166059494,3.0,1.0,0.0,0.0,220,2.3753931522369385,-1.4540982246398926,0.0,1.3993098735809326,-0.1639307141304016,0.0,-0.1159052848815918,2.0,1.0
10,0.015352979302406311,0.840369701385498,0.14427731931209564,3.0,1.0,0.0,0.0,220,2.3753931522369385,-1.4555420875549316,0.0,1.4006993770599365,-0.17269998788833618,0.0,-0.12564058601856232,2.0,1.0
11,0.020219802856445312,0.8284192681312561,0.15136092901229858,3.0,1.0,0.0,0.0,220,2.3753931522369385,-1.4569861888885498,0.0,1.4020891189575195,-0.18127447366714478,0.0,-0.13515280187129974,2.0,1.0
12,0.02508653700351715,0.816470205783844,0.15844325721263885,3.0,1.0,0.0,0.0,220,2.3753931522369385,-1.4584301710128784,0.0,1.4034786224365234,-0.18965141475200653,0.0,-0.14443936944007874,2.0,1.0
13,0.029952600598335266,0.8045217394828796,0.1655256599187851,3.0,1.0,0.0,0.0,220,2.3753931522369385,-1.4598740339279175,0.0,1.4048681259155273,-0.19783198833465576,0.0,-0.15350061655044556,2.0,1.0
14,0.03481936454772949,0.7925713658332825,0.17260926961898804,3.0,1.0,0.0,0.0,220,2.3753931522369385,-1.4613181352615356,0.0,1.4062578678131104,-0.20581763982772827,0.0,-0.16233853995800018,2.0,1.0
15,0.03968614339828491,0.7806222438812256,0.1796916127204895,3.0,1.0,0.0,0.0,220,2.3753931522369385,-1.4627621173858643,0.0,1.4076473712921143,-0.2136058807373047,0.0,-0.1709510087966919,2.0,1.0
16,0.04455322027206421,0.7686722278594971,0.18677455186843872,3.0,1.0,0.0,0.0,220,2.3753931522369385,-1.4642062187194824,0.0,1.4090369939804077,-0.22119846940040588,0.0,-0.17933934926986694,2.0,1.0
17,0.04941935837268829,0.7567237019538879,0.19385693967342377,3.0,1.0,0.0,0.0,220,2.3753931522369385,-1.4656500816345215,0.0,1.4104264974594116,-0.2285940796136856,0.0,-0.18750181794166565,2.0,1.0
18,0.054286107420921326,0.7447733283042908,0.2009405642747879,3.0,1.0,0.0,0.0,220,2.3753931522369385,-1.4670941829681396,0.0,1.4118162393569946,-0.23579464852809906,0.0,-0.19544076919555664,2.0,1.0
19,0.059152185916900635,0.7328248620033264,0.20802295207977295,3.0,1.0,0.0,0.0,220,2.3753931522369385,-1.4685380458831787,0.0,1.4132057428359985,-0.24279774725437164,0.0,-0.20315377414226532,2.0,1.0
20,0.06401892006397247,0.7208757996559143,0.21510528028011322,3.0,1.0,0.0,0.0,220,2.3753931522369385,-1.4699820280075073,0.0,1.4145952463150024,-0.2496047466993332,0.0,-0.21064259111881256,2.0,1.0
21,0.06888605654239655,0.708925724029541,0.22218821942806244,3.0,1.0,0.0,0.0,220,2.3753931522369385,-1.4714261293411255,0.0,1.415984869003296,-0.25621604919433594,0.0,-0.21790730953216553,2.0,1.0
22,0.07375206053256989,0.6969773173332214,0.22927062213420868,3.0,1.0,0.0,0.0,220,2.3753931522369385,-1.4728699922561646,0.0,1.4173743724822998,-0.262630432844162,0.0,-0.22494614124298096,2.0,1.0
23,0.07861892879009247,0.6850268244743347,0.23635424673557281,3.0,1.0,0.0,0.0,220,2.3753931522369385,-1.4743140935897827,0.0,1.4187641143798828,-0.2688496708869934,0.0,-0.23176148533821106,2.0,1.0
24,0.0834856778383255,0.6730777621269226,0.2434365600347519,3.0,1.0,0.0,0.0,220,2.3753931522369385,-1.4757580757141113,0.0,1.4201536178588867,-0.27487167716026306,0.0,-0.23835141956806183,2.0,1.0
25,0.0883517861366272,0.6611292362213135,0.2505189776420593,3.0,1.0,0.0,0.0,220,2.3753931522369385,-1.4772019386291504,0.0,1.4215431213378906,-0.28069737553596497,0.0,-0.24471622705459595,2.0,1.0
26,0.09321880340576172,0.6491792798042297,0.25760191679000854,3.0,1.0,0.0,0.0,220,2.3753931522369385,-1.4786460399627686,0.0,1.422932744026184,-0.2863273620605469,0.0,-0.2508571743965149,2.0,1.0
27,0.09808453917503357,0.6372304558753967,0.2646850049495697,3.0,1.0,0.0,0.0,220,2.3753931522369385,-1.4800899028778076,0.0,1.4243223667144775,-0.29176095128059387,0.0,-0.25677257776260376,2.0,1.0
28,0.1029517650604248,0.6252803206443787,0.27176791429519653,3.0,1.0,0.0,0.0,220,2.3753931522369385,-1.4815340042114258,0.0,1.425711989402771,-0.29699841141700745,0.0,-0.26246416568756104,2.0,1.0
29,0.10781848430633545,0.6133312582969666,0.278850257396698,3.0,1.0,0.0,0.0,220,2.3753931522369385,-1.4829779863357544,0.0,1.427101492881775,-0.3020392060279846,0.0,-0.2679305076599121,2.0,1.0
30,0.11268538236618042,0.6013807654380798,0.28593385219573975,3.0,1.0,0.0,0.0,220,2.3753931522369385,-1.4844220876693726,0.0,1.428491234779358,-0.3068844974040985,0.0,-0.27317261695861816,2.0,1.0
31,0.11755138635635376,0.5894323587417603,0.293016254901886,3.0,1.0,0.0,0.0,220,2.3753931522369385,-1.4858659505844116,0.0,1.4298807382583618,-0.31153273582458496,0.0,-0.27818912267684937,2.0,1.0
32,0.1224181056022644,0.5774832963943481,0.30009859800338745,3.0,1.0,0.0,0.0,220,2.3753931522369385,-1.4873099327087402,0.0,1.4312702417373657,-0.3159847855567932,0.0,-0.2829813063144684,2.0,1.0
33,0.12728524208068848,0.5655332207679749,0.30718153715133667,3.0,1.0,0.0,0.0,220,2.3753931522369385,-1.4887540340423584,0.0,1.4326598644256592,-0.32024094462394714,0.0,-0.28754913806915283,2.0,1.0
