ptnum,analytic_vortex_core_vel_x,analytic_vortex_core_vel_y,analytic_vortex_core_vel_z,P_x,P_y,P_z,id,gamma
0,-0.3873807489871979,0.0,-0.36009398102760315,1.2669297456741333,0.0,-1.362922191619873,0,1.0
1,-0.38635575771331787,0.0,-0.3611935079097748,1.2707982063293457,0.0,-1.3593158721923828,0,1.0
2,-0.38532760739326477,0.0,-0.3622901737689972,1.2746565341949463,0.0,-1.355698585510254,0,1.0
3,-0.38429635763168335,0.0,-0.36338385939598083,1.278504490852356,0.0,-1.3520703315734863,0,1.0
4,-0.3832619786262512,0.0,-0.36447465419769287,1.2823421955108643,0.0,-1.34843111038208,0,1.0
5,-0.38222455978393555,0.0,-0.36556243896484375,1.286169409751892,0.0,-1.3447810411453247,0,1.0
6,-0.38118404150009155,0.0,-0.36664730310440063,1.2899863719940186,0.0,-1.3411201238632202,0,1.0
7,-0.38014042377471924,0.0,-0.36772918701171875,1.2937928438186646,0.0,-1.3374483585357666,0,1.0
8,-0.379093736410141,0.0,-0.36880815029144287,1.29758882522583,0.0,-1.3337657451629639,0,1.0
9,-0.3780268728733063,0.0,-0.36987072229385376,1.3013743162155151,0.0,-1.3300724029541016,0,1.0
10,-0.3769741356372833,0.0,-0.37094366550445557,1.3051493167877197,0.0,-1.3263683319091797,0,1.0
11,-0.3759353756904602,0.0,-0.37202703952789307,1.3089138269424438,0.0,-1.3226535320281982,0,1.0
12,-0.374859482049942,0.0,-0.3730804920196533,1.312667727470398,0.0,-1.3189280033111572,0,1.0
13,-0.3737950921058655,0.0,-0.37414154410362244,1.316411018371582,0.0,-1.3151918649673462,0,1.0
14,-0.3727327287197113,0.0,-0.37520527839660645,1.320143699645996,0.0,-1.3114451169967651,0,1.0
15,-0.37168169021606445,0.0,-0.37627682089805603,1.3238657712936401,0.0,-1.307687759399414,0,1.0
16,-0.3706107437610626,0.0,-0.3773317039012909,1.3275771141052246,0.0,-1.303919792175293,0,1.0
17,-0.369536817073822,0.0,-0.37838348746299744,1.3312777280807495,0.0,-1.3001413345336914,0,1.0
18,-0.368443101644516,0.0,-0.37941843271255493,1.3349674940109253,0.0,-1.2963523864746094,0,1.0
19,-0.3673632740974426,0.0,-0.3804640769958496,1.3386465311050415,0.0,-1.2925529479980469,0,1.0
20,-0.3662804663181305,0.0,-0.38150665163993835,1.3423147201538086,0.0,-1.2887431383132935,0,1.0
21,-0.3651922643184662,0.0,-0.3825431764125824,1.3459720611572266,0.0,-1.2849228382110596,0,1.0
22,-0.3641035258769989,0.0,-0.3835795819759369,1.3496185541152954,0.0,-1.2810921669006348,0,1.0
23,-0.36301189661026,0.0,-0.3846128582954407,1.3532540798187256,0.0,-1.2772512435913086,0,1.0
24,-0.36191728711128235,0.0,-0.38564303517341614,1.3568787574768066,0.0,-1.2733999490737915,0,1.0
25,-0.3608197867870331,0.0,-0.3866700828075409,1.360492467880249,0.0,-1.269538402557373,0,1.0
26,-0.35972175002098083,0.0,-0.3876969814300537,1.3640952110290527,0.0,-1.2656666040420532,0,1.0
27,-0.3586348295211792,0.0,-0.388731986284256,1.3676869869232178,0.0,-1.261784553527832,0,1.0
28,-0.35752856731414795,0.0,-0.3897497355937958,1.3712676763534546,0.0,-1.2578922510147095,0,1.0
29,-0.3564193546772003,0.0,-0.3907643258571625,1.3748372793197632,0.0,-1.253989815711975,0,1.0
30,-0.3553072512149811,0.0,-0.3917757570743561,1.3783957958221436,0.0,-1.2500771284103394,0,1.0
31,-0.3541761338710785,0.0,-0.39276960492134094,1.3819431066513062,0.0,-1.2461544275283813,0,1.0
32,-0.35305604338645935,0.0,-0.3937716484069824,1.385479211807251,0.0,-1.242221713066101,0,1.0
33,-0.35193541646003723,0.0,-0.3947734832763672,1.3890042304992676,0.0,-1.2382789850234985,0,1.0
34,-0.35081198811531067,0.0,-0.39577212929725647,1.3925179243087769,0.0,-1.2343262434005737,0,1.0
