ptnum,id,harmonic_vel_x,harmonic_vel_y,harmonic_vel_z,harmonic_coeff,P_x,P_y,P_z,coexact_vel_x,coexact_vel_y,coexact_vel_z,velocity_x,velocity_y,velocity_z,gamma
24,0,-0.01666683703660965,-0.0,-0.013872147537767887,-0.11999274045228958,1.1769510507583618,0.0,-1.4146264791488647,-0.38312479853630066,0.0,-0.31929194927215576,-0.3997916281223297,0.0,-0.3331640958786011,1.0
25,0,-0.016629040241241455,-0.0,-0.013917624950408936,-0.11999057233333588,1.1809688806533813,0.0,-1.4113006591796875,-0.3874320685863495,0.0,-0.3182717561721802,-0.40406110882759094,0.0,-0.3321893811225891,1.0
26,0,-0.01658673584461212,-0.0,-0.013959845528006554,-0.11996005475521088,1.1850382089614868,0.0,-1.407978892326355,-0.3935307562351227,0.0,-0.3184036910533905,-0.410117506980896,0.0,-0.3323635160923004,1.0
27,0,-0.016539501026272774,-0.0,-0.013998709619045258,-0.11989918351173401,1.189177393913269,0.0,-1.4046494960784912,-0.40149328112602234,0.0,-0.31972736120224,-0.41803276538848877,0.0,-0.33372607827186584,1.0
28,0,-0.016486873850226402,-0.0,-0.014034097082912922,-0.11980573832988739,1.1934053897857666,0.0,-1.401300311088562,-0.4114224910736084,0.0,-0.3223026394844055,-0.42790934443473816,0.0,-0.33633673191070557,1.0
29,0,-0.01641775481402874,-0.0,-0.014058530330657959,-0.11960720270872116,1.1977020502090454,0.0,-1.3979216814041138,-0.40633922815322876,0.0,-0.32473230361938477,-0.42275696992874146,0.0,-0.3387908339500427,1.0
30,0,-0.016351858153939247,-0.0,-0.014085548929870129,-0.11942633986473083,1.201843023300171,0.0,-1.3945297002792358,-0.38934460282325745,0.0,-0.3253108561038971,-0.40569648146629333,0.0,-0.3393963873386383,1.0
31,0,-0.01629941165447235,-0.0,-0.014122058637440205,-0.11932948231697083,1.2058210372924805,0.0,-1.3911374807357788,-0.37386059761047363,0.0,-0.32474079728126526,-0.3901599943637848,0.0,-0.3388628363609314,1.0
32,0,-0.016258200630545616,-0.0,-0.01416637934744358,-0.11930246651172638,1.2096513509750366,0.0,-1.3877558708190918,-0.3599061369895935,0.0,-0.3231261670589447,-0.3761643171310425,0.0,-0.33729255199432373,1.0
33,0,-0.016226118430495262,-0.0,-0.014216886833310127,-0.1193317100405693,1.213349461555481,0.0,-1.3843947649002075,-0.34748703241348267,0.0,-0.32056400179862976,-0.36371317505836487,0.0,-0.33478087186813354,1.0
34,0,-0.016201147809624672,-0.0,-0.01427200436592102,-0.11940409988164902,1.2169307470321655,0.0,-1.3810631036758423,-0.33659854531288147,0.0,-0.3171437978744507,-0.3527996838092804,0.0,-0.3314158022403717,1.0
35,0,-0.016181372106075287,-0.0,-0.014330211095511913,-0.11950711905956268,1.2204105854034424,0.0,-1.3777689933776855,-0.32722681760787964,0.0,-0.31294694542884827,-0.34340816736221313,0.0,-0.32727715373039246,1.0
36,0,-0.01616494543850422,-0.0,-0.014390027150511742,-0.11962869763374329,1.223803997039795,0.0,-1.3745198249816895,-0.3193511366844177,0.0,-0.308046817779541,-0.3355160653591156,0.0,-0.3224368393421173,1.0
