radius_index,radius,interior,theta_count,analytical_dr_theta_mean,analytical_dr_theta_std,analytical_dr_theta_min,analytical_dr_theta_max,analytical_dr_theta_range,analytical_dtheta_theta_mean,analytical_dtheta_theta_std,analytical_dtheta_theta_min,analytical_dtheta_theta_max,analytical_dtheta_theta_range,analytical_speed_theta_mean,analytical_speed_theta_std,analytical_speed_theta_min,analytical_speed_theta_max,analytical_speed_theta_range,discrete_dr_theta_mean,discrete_dr_theta_std,discrete_dr_theta_min,discrete_dr_theta_max,discrete_dr_theta_range,discrete_dtheta_theta_mean,discrete_dtheta_theta_std,discrete_dtheta_theta_min,discrete_dtheta_theta_max,discrete_dtheta_theta_range,discrete_speed_theta_mean,discrete_speed_theta_std,discrete_speed_theta_min,discrete_speed_theta_max,discrete_speed_theta_range
10,0.7460921969203506,0,55,-2.0023641755384498e-06,4.697498153904201e-07,-2.51608617324462e-06,-1.2053726726828783e-06,1.3107135005617415e-06,1.7686705688782405,6.565981680292194e-06,1.7686619139749595,1.768680141740952,1.822776599236242e-05,1.7686705688794369,6.565982123161783e-06,1.7686619139754993,1.7686801417427416,1.8227767242251502e-05,-0.003484225364587631,0.06477468232325327,-0.12812317728647793,0.11504870450853838,0.2431718817950163,0.3067159963835549,0.06437620655459314,0.1926115063242846,0.5331819555292215,0.34057044920493695,0.31377012114716324,0.06304925677341924,0.21113314693989763,0.5332444473198207,0.3221113003799231
11,0.7507013722672544,0,55,-9.375807734299837e-07,8.962261813407879e-07,-1.6430969271552943e-06,9.278354110167496e-07,2.570932338172044e-06,1.6103912137824998,2.9290153014713062e-06,1.610388543062359,1.6103950208697988,6.477807439786432e-06,1.6103912137830223,2.929015067618111e-06,1.6103885430630422,1.6103950208701372,6.47780709495116e-06,-0.00395907822282425,0.06724426803146048,-0.1276505295926708,0.11954003421214317,0.24719056380481397,0.3273945459951588,0.06651788000729998,0.20999365087198693,0.5662621451429459,0.35626849427095897,0.33448578606170387,0.06533407927098303,0.2261653861262209,0.5663095943216827,0.3401442081954618
12,0.7553105919250901,0,55,-4.18539899983552e-06,7.650132673301427e-07,-4.542541524287015e-06,-1.530218180368327e-06,3.012323343918688e-06,1.4782932387439325,2.661927268633622e-06,1.4782837076376198,1.478294128552025,1.0420914405173676e-05,1.4782932387500554,2.661928786662146e-06,1.4782837076384852,1.4782941285586835,1.0420920198317418e-05,-0.0039494149869276456,0.06927304312562042,-0.12043382880585547,0.12850254337692874,0.2489363721827842,0.34664978003370217,0.06798309469072711,0.22669550773710878,0.5942926346239648,0.367597126886856,0.35371876306474065,0.0669713386435973,0.24090489256982486,0.59432385108752,0.3534189585176951
13,0.7599198270550905,0,55,-6.8909925242870884e-06,4.372727163078758e-07,-7.114342733608798e-06,-5.272820392210882e-06,1.8415223413979154e-06,1.366321768755094,1.55104756313838e-06,1.3663152792203361,1.366322294824347,7.015604010840448e-06,1.366321768772541,1.5510493636167256e-06,1.3663152792307414,1.3663222948418177,7.015611076299777e-06,-0.0038670506203053448,0.07113031279405023,-0.1201349933231276,0.13726578149425508,0.25740077481738266,0.3643687126341522,0.0689573485637426,0.24271701557317157,0.6181281020399956,0.375411086466824,0.3714304632844303,0.06807026583321023,0.2552682945702741,0.6181446636823631,0.362876369112089
14,0.764529052383851,0,55,-3.894813372886826e-06,1.2853420187087848e-06,-5.069801367630533e-06,-1.5979136548990846e-06,3.471887712731448e-06,1.2701974077421585,2.809349270523898e-06,1.2701950273716869,1.2702016542807264,6.6269090395199015e-06,1.2701974077487799,2.8093465343705227e-06,1.270195027381724,1.2702016542843064,6.62690258246279e-06,-0.003828451526178101,0.07305504819828182,-0.12573667937143088,0.14582954272804013,0.271566222099471,0.3805569387089344,0.06954137106122234,0.25805765539098924,0.6377691424791186,0.3797114870881294,0.3876804902381464,0.06866673492778227,0.2691933014898288,0.6377745708393103,0.36858126934948154
15,0.7691382818707863,0,55,-2.6617689346514554e-06,2.280123412743209e-07,-2.8361626498825126e-06,-1.4973827533493313e-06,1.3387798965331813e-06,1.186728580715388,5.008426476543377e-07,1.1867283933040103,1.1867311642039857,2.7708999754683106e-06,1.186728580718395,5.008422505266381e-07,1.1867283933071366,1.1867311642049547,2.770897818082929e-06,-0.004393298253534595,0.07386706493139282,-0.1322927904941726,0.13884344885588915,0.27113623935006176,0.3958865615066657,0.06955439213314127,0.2727180415340608,0.6532156644015608,0.38049762286749994,0.40287538291579233,0.06878265215996393,0.282633955516867,0.6532157936183083,0.3705818381014413
16,0.7737475035540837,0,55,-2.7875476339489876e-06,3.6166305306036527e-07,-3.140303014789905e-06,-1.8232049923588045e-06,1.3170980224311007e-06,1.1135563782390943,2.028484916007779e-06,1.1135543999177964,1.1135588430283514,4.443110555030216e-06,1.113556378242642,2.0284843679916523e-06,1.113554399922005,1.1135588430314367,4.44310943170656e-06,-0.005054158504943003,0.07465400836006339,-0.13924151757636175,0.1297261166733836,0.26896763424974535,0.40986009530228623,0.0690937592984572,0.28669790157289987,0.6644676332439167,0.3777697316710168,0.41674999966295007,0.06839187494535363,0.2955543806549015,0.6644710687903561,0.3689166881354546
17,0.7783566726145165,0,55,-5.537989367425098e-06,3.8692804395855276e-07,-6.757226666483729e-06,-5.32144359288318e-06,1.4357830736005487e-06,1.048879667262731,3.227517784265708e-07,1.0488785147464907,1.0488799183768036,1.403630312868387e-06,1.0488796672774223,3.227506369767015e-07,1.0488785147657025,1.0488799183982818,1.4036325792776694e-06,-0.005914549361345264,0.07527891173241481,-0.14601082362508105,0.12086768276493719,0.26687850639001826,0.42246603178434056,0.06822462234418243,0.2999970368359315,0.6715251028480561,0.3715280660121246,0.42926713218787876,0.06755570127363265,0.3079267787966154,0.6715438010601806,0.36361702226356524
18,0.7829659070253642,0,55,-5.1852154222813625e-06,7.457946131268462e-07,-7.186700762146347e-06,-4.805508190991026e-06,2.381192571155321e-06,0.9912746347225588,5.603381849040527e-07,0.9912743671193418,0.9912761441653143,1.7770459724841814e-06,0.9912746347364013,5.603427025645423e-07,0.9912743671309923,0.991276144191106,1.777060113727913e-06,-0.006486016903825787,0.07575162625765215,-0.15260094375581237,0.12694740471252153,0.2795483484683339,0.43365640028733343,0.06707994540536555,0.3126158804382825,0.6743882414149729,0.3617723609766904,0.44038133280963193,0.0663494656687057,0.3197298102095396,0.67443824758959,0.3547084373800504
19,0.7875751321093668,0,55,-2.3091541125454048e-06,2.0092300649717303e-07,-3.6976098032163005e-06,-2.0878827549510662e-06,1.6097270482652343e-06,0.9396300070474443,1.535922839729799e-06,0.9396291359417019,0.9396330470254045,3.911083702567986e-06,0.9396300070503029,1.5359227622707416e-06,0.9396291359445317,0.9396330470280362,3.911083504504198e-06,-0.006690110218364195,0.0759684358069936,-0.1590115896055249,0.13297665850859713,0.29198824811412205,0.4435509082192435,0.06581761438097039,0.3245540882304671,0.6730565973985493,0.3485025091680822,0.4501905357515115,0.06491385736789963,0.3309458610786761,0.6731590037287449,0.34221314265006886
20,0.7921843555142651,0,55,-5.910419191130818e-06,2.3454702084925936e-07,-7.165478283896546e-06,-5.788557064447661e-06,1.3769212194488846e-06,0.8930235688924565,1.9497421865036683e-06,0.8930229520871653,0.8930311967136697,8.244626504394503e-06,0.8930235689120462,1.949743777470323e-06,0.8930229521063209,0.8930311967424168,8.24463609594428e-06,-0.006310543065919938,0.07553622459054711,-0.14988201327605152,0.13892115751779377,0.2888031707938453,0.4523676014395342,0.06422850668251004,0.33160777160186666,0.667530565186754,0.33592279358488736,0.45881791388622817,0.06319346468656956,0.34156119000781765,0.6677127554568927,0.32615156544907503
21,0.7967935804685223,0,55,-6.791109715797405e-06,1.2097892329598297e-06,-9.613724924952987e-06,-5.992867123264583e-06,3.620857801688404e-06,0.8507892745429847,2.5138487525919577e-06,0.8507849397152898,0.8507910818794747,6.142164184930188e-06,0.8507892745709488,2.513844797893198e-06,0.8507849397443731,0.8507910819009171,6.142156544042265e-06,-0.0057301687022561715,0.0749519738661181,-0.14048149419527867,0.14478103552449015,0.28526252971976884,0.46014122110161554,0.06179070222855524,0.34115567819950504,0.657809807554705,0.31665412935519993,0.46636631570437154,0.06083688876740679,0.35156439552627744,0.6581071211286359,0.30654272560235846
22,0.8014028075859498,0,55,-5.8873875820516425e-06,3.1739663557630205e-07,-7.098712034713058e-06,-5.699098407527439e-06,1.3996136271856193e-06,0.812283724050875,1.5180038410301524e-06,0.81228308727304,0.8122891512415266,6.0639684865693155e-06,0.812283724072273,1.5180062865810608e-06,0.8122830872935237,0.812289151272453,6.063978929327085e-06,-0.005460069435254029,0.07400780344267159,-0.13124032709988417,0.1505560849343704,0.28179641203425454,0.4667124005456066,0.05909016286305193,0.3500161104263064,0.6482547855790142,0.29823867515270774,0.4726785706639202,0.05825846147972791,0.3609461066941674,0.6487111095064977,0.2877650028123303
23,0.80601203609894,0,55,-5.85863382774995e-06,7.851423423531111e-07,-6.838030630741318e-06,-4.942081771012453e-06,1.8959488597288653e-06,0.7770932371106664,1.414133806239264e-06,0.7770918574637473,0.7770948824513579,3.0249876106225315e-06,0.7770932371331475,1.414128226668234e-06,0.7770918574896004,0.7770948824674154,3.024977815013763e-06,-0.005584569713487149,0.07246376142749084,-0.12248101316428586,0.14900711218981466,0.2714881253541005,0.4722226595829648,0.05607907233555051,0.35818877133593796,0.6424744845650593,0.28428571322912133,0.4778627494093663,0.05539385745415351,0.3696988608190164,0.6429790587072284,0.273280197888212
24,0.8106212645669186,0,55,-5.989804571520849e-06,4.65446951369949e-07,-7.032727274997097e-06,-5.725933242801055e-06,1.3067940321960418e-06,0.7447328884498031,8.065504896117579e-07,0.744732451008608,0.744734622713193,2.1717045850522254e-06,0.7447328884740363,8.065544657109703e-07,0.7447324510309659,0.744734622745983,2.171715017151854e-06,-0.005894985558278225,0.07064246907644872,-0.11719700750982144,0.1433286958313055,0.26052570334112696,0.4763978101264632,0.05293984660217128,0.3656740369180828,0.6340917747086935,0.2684177377906107,0.48170885820262777,0.05233723409410365,0.3778160601558674,0.6344863497298006,0.2566702895739332
25,0.815230429070819,0,55,-7.355492024167084e-06,3.3600236216757036e-07,-7.520812303418861e-06,-6.14011115671033e-06,1.3807011467085302e-06,0.714880615820256,5.313790786389339e-07,0.7148804107789926,0.7148825303865057,2.119607513173527e-06,0.7148806158581755,5.31375894334636e-07,0.7148804108179957,0.7148825304128744,2.1195948787244845e-06,-0.005994469516490605,0.06884869171875163,-0.11490280797518448,0.13737836102705786,0.25228116900224234,0.4792460603866394,0.0498408589564909,0.37247140951521707,0.6335995068676002,0.2611280973523832,0.4842581914348713,0.04930494561431545,0.38529231556325216,0.6339752395776701,0.24868292401441794
26,0.8198396567371306,0,55,-8.083932395490666e-06,4.283645783385968e-07,-8.288133747979547e-06,-6.706710228114413e-06,1.5814235198651341e-06,0.6872779405424371,1.9550212158604105e-06,0.6872772690355508,0.6872841341719874,6.865136436662311e-06,0.6872779405901133,1.9550165629814233e-06,0.6872772690847431,0.6872841342049917,6.8651202486114116e-06,-0.006145576593683983,0.06714888414112166,-0.11751656767495476,0.1311559886428377,0.24867255631779245,0.48090622104565817,0.04693164752268689,0.37518716243110006,0.6310057626629318,0.2558186002318318,0.485658609037188,0.04643090781731093,0.3921231336702313,0.6313603843053149,0.2392372506350836
27,0.8244488855860211,0,55,-7.330865266549384e-06,4.531483874239036e-07,-7.53845279227128e-06,-5.600125339252713e-06,1.938327453018567e-06,0.6616440291340314,1.4210024902158348e-06,0.6616412476770572,0.6616496066361303,8.358959073029304e-06,0.6616440291747986,1.421000861059082e-06,0.6616412477008027,0.6616496066645176,8.35896371487177e-06,-0.0066803159715476,0.06497257128485025,-0.12164009151396799,0.12466160074810677,0.24630169226207477,0.48173109955046833,0.04381427210543736,0.3816242755658334,0.6263104880499049,0.24468621248407146,0.48616054875718706,0.04357206888808485,0.3969315518741333,0.6266418606517871,0.22971030877765375
28,0.8290581082684735,0,55,-8.744762210068034e-06,1.4117841269478267e-06,-9.403796955571961e-06,-5.343496217207252e-06,4.060300738364709e-06,0.6377853207176921,4.854030649740162e-06,0.6377736141707633,0.6377913888613149,1.7774690551641825e-05,0.6377853207792051,4.854046186103893e-06,0.6377736141933562,0.637791388905042,1.77747116857363e-05,-0.00729863344400214,0.06189073763807191,-0.11647920636896891,0.11789524008108583,0.23437444645005473,0.48166049122028265,0.041260166580463,0.38738777916764466,0.6195138487645369,0.2321260695968922,0.485683678279842,0.04116221880449341,0.40046713442731435,0.6198199854134122,0.21935285098609786
29,0.8336673410155775,0,55,-6.0495577712362086e-06,7.912641998418545e-07,-9.317020803040435e-06,-5.373216782751819e-06,3.9438040202886155e-06,0.6155288079570583,2.2043193832836878e-06,0.6155235759048648,0.6155366890968383,1.3113191973501692e-05,0.615528807987295,2.204313039283041e-06,0.6155235759753795,0.6155366891203915,1.3113145011955929e-05,-0.007622562996269991,0.05804849568398842,-0.10889756643526993,0.11085690432130556,0.2197544707565755,0.48092681269101284,0.039005997129358656,0.3924778549122243,0.610615675570465,0.21813782065824072,0.48447986009532934,0.03897516461810426,0.40318923564846415,0.6108947772840113,0.20770554163554716
30,0.8382765035814362,0,55,-7.903320736249531e-06,5.631065940060792e-07,-8.212232127924572e-06,-3.8064491595651618e-06,4.405782968359411e-06,0.5946753042851033,3.0907524755891654e-06,0.5946740744182422,0.5946834225191912,9.348100948991522e-06,0.5946753043378881,3.090753738532023e-06,0.5946740744707257,0.5946834225754667,9.348104740958263e-06,-0.0073950244677172955,0.053611261809547076,-0.10124000129282423,0.10354666106307804,0.20478666235590226,0.47927393021146597,0.03689430650435563,0.3961450892472731,0.5996162180666408,0.20347112881936769,0.48231768075022774,0.03692152012300949,0.40533134627024897,0.5998667108777256,0.1945353646074766
