theta_file,theta,rin,rout,scope,sample_count,position_max_delta,vector_mean_error,vector_rmse,vector_max_error,relative_vector_rmse,mae_dr,rmse_dr,max_abs_dr,mae_dtheta,rmse_dtheta,max_abs_dtheta
0.0,0.0,0.7,3.0,all,500,2.545495547678911e-08,0.18168777096718067,0.8109693040093201,8.623735083303243,0.9274963897095843,0.008567498278291338,0.011867405931993936,0.0472002533311266,0.17823264609521114,0.8108824678840987,8.623734578490229
0.0,0.0,0.7,3.0,interior,412,2.545495547678911e-08,0.012413550668418984,0.01548905990676342,0.0475250043810374,0.10803090957655782,0.007259689248164363,0.010078581657083974,0.0472002533311266,0.008875032705449553,0.011761512172199479,0.032757195197169346
0.09,0.0872664600610733,0.7,3.0,all,500,0.0014071939640772813,0.18184645956985454,0.8062087419830674,8.587379653458168,0.9220527140454948,0.016102118517397814,0.02463000278670085,0.10938586936296874,0.17478932925137644,0.8058324258880671,8.587376909796806
0.09,0.0872664600610733,0.7,3.0,interior,412,0.0014071939640772813,0.015498158560076076,0.01849674789210008,0.05037254650243238,0.1290071542723201,0.010527268275360059,0.01300029499499458,0.03458940252549664,0.009455627782358453,0.013157583844575247,0.04878990264711841
0.17,0.1745329201221466,0.7,3.0,all,500,0.0010232583571414215,0.174888940171749,0.8046793272581512,8.603651550746841,0.920303907401083,0.013820657154494612,0.024448756763407912,0.09003255440698875,0.17028954805099447,0.8043078254060161,8.603580587751063
0.17,0.1745329201221466,0.7,3.0,interior,412,0.0010232583571414215,0.01008614401948303,0.011795005314651991,0.04195996942456122,0.0822658886858155,0.006562327808927349,0.008951837346326388,0.04058631083065789,0.00648794936002241,0.0076802837511113385,0.018426114227201973
0.26,0.2617993950843811,0.7,3.0,all,500,0.0008222942063408319,0.17694748482879918,0.8060621478469501,8.605564815416988,0.921883528013045,0.013110122595185498,0.021642597450790065,0.08998973494932491,0.17169629558157587,0.8057715458907826,8.605563342573813
0.26,0.2617993950843811,0.7,3.0,interior,412,0.0008222942063408319,0.010031402560442115,0.011345249721204646,0.026436930049163677,0.0791290662713399,0.006746901010716684,0.007848390456626692,0.024626049707572553,0.005881664958044471,0.008192524548442024,0.02321727123598333
0.35,0.3490658402442932,0.7,3.0,all,500,0.0014620877993040576,0.181489908602205,0.8089607430460023,8.616232310466398,0.9251983592265182,0.011464364961371787,0.02018169814614893,0.09791711152663138,0.17764965968929664,0.8087089605349246,8.616211454308662
0.35,0.3490658402442932,0.7,3.0,interior,412,0.0014620877993040576,0.014414975323508593,0.016463561712878994,0.03696384861648854,0.11482724144220052,0.006675241631930828,0.009038127231585874,0.025514829971856043,0.011023056303667067,0.013760854639863072,0.028799199698869633
0.44,0.4363323152065277,0.7,3.0,all,500,0.00031069721381997266,0.17666935743033998,0.8044021873011854,8.603803004828185,0.9199848920740807,0.012765059943670743,0.025520506608785135,0.1405140343779251,0.17252285307718274,0.8039972529041143,8.603784419309495
0.44,0.4363323152065277,0.7,3.0,interior,412,0.00031069721381997266,0.011008178241959618,0.012682658862388011,0.030156668700561256,0.08845664589917412,0.006149740143683001,0.008149433007331482,0.02961785398359295,0.007570673059756814,0.009717848397599406,0.02263147995714107
0.52,0.5235987901687622,0.7,3.0,all,500,0.0013156943241282254,0.17821108862076793,0.8079111234366126,8.603020762261673,0.924000618245675,0.014109567792098094,0.02921738282123405,0.15056185161199476,0.17356661088337988,0.8073826403346104,8.602999876069065
0.52,0.5235987901687622,0.7,3.0,interior,412,0.0013156943241282254,0.010252778868156353,0.013710228242596779,0.04898718149535605,0.09562458616225887,0.005952887243495348,0.008120858684301908,0.02400218862575468,0.007506884704884059,0.011046357440065782,0.04381725026676625
0.61,0.6108652353286743,0.7,3.0,all,500,0.0011879238003248067,0.18053795753190446,0.8128079006897572,8.61937986486757,0.9296000222802703,0.011644415806194111,0.021960129746844085,0.10219693193612234,0.17725355481413094,0.8125111913845813,8.61936203847106
0.61,0.6108652353286743,0.7,3.0,interior,412,0.0011879238003248067,0.008306105745617144,0.010856589509183693,0.02826087715254638,0.07572069381500403,0.0055558117552486595,0.008084388734922994,0.02538439714156417,0.005197121803128989,0.00724625382894966,0.023897333896589712
0.7,0.6981316804885864,0.7,3.0,all,500,0.0005848055403989856,0.17673440854411124,0.8088076445530216,8.609416420645735,0.9250251004112123,0.007616259373626086,0.014950680561394685,0.07921871835812701,0.17467623841308816,0.8086694522721616,8.609415020946928
0.7,0.6981316804885864,0.7,3.0,interior,412,0.0005848055403989856,0.008162569145855999,0.010622392397376801,0.023714000169066326,0.07408775600239122,0.003955284404164098,0.005871289547661633,0.018842352303709137,0.006016002061148479,0.00885229796670716,0.02256304461622302
0.79,0.7853981256484985,0.7,3.0,all,500,0.0014803659166961974,0.1784813644977471,0.8086657985839345,8.613652260898554,0.9248631865424956,0.008501237332783186,0.0134886243550696,0.06516556319353951,0.1744116109300444,0.8085532949734361,8.61355533645161
0.79,0.7853981256484985,0.7,3.0,interior,412,0.0014803659166961974,0.010097114289387534,0.013384967448414237,0.0428851148728105,0.09335594711478495,0.006581135643378498,0.010243845207479247,0.0337671654489688,0.005640226848636654,0.008615160414078962,0.04204565353343109
0.87,0.8726646304130554,0.7,3.0,all,500,0.0005848055403989856,0.1755773559069392,0.8004012490296526,8.561257075140722,0.915409918903271,0.014615686882878046,0.031784152938882655,0.15900929112108805,0.1722170030700896,0.7997699213337456,8.56121867407481
0.87,0.8726646304130554,0.7,3.0,interior,412,0.0005848055403989856,0.008417749656328981,0.011619207519099653,0.036362376285114975,0.08103994823035258,0.004726670572183276,0.0076009717417491,0.03627689358414745,0.006098020476270411,0.008788129035979931,0.0329108939560141
0.96,0.9599310159683228,0.7,3.0,all,500,0.001187990807869954,0.16583253739631243,0.7952525464135949,8.560055430280364,0.9095232537523397,0.009892841255523931,0.022181969498820453,0.12733533943276104,0.16268856617868016,0.7949431255168262,8.560055135244745
