sidelen,component,theta_file,theta,Rin,Rout,r_min_plot,r_max_plot,in_plot_window,ptnum,r,P_x,P_y,P_z,u_exact,u_numerical,u_error,exact_vx,exact_vy,exact_vz,numerical_vx,numerical_vy,numerical_vz,position_delta
0.1,theta,0.0,0.0,1.0,2.0,1.1,1.9,0,0,1.0,1.0,0.0,0.0,-8.815495675662532e-06,0.0,8.815495675662532e-06,3.825071814844705e-07,0.0,-8.815495675662532e-06,0.0,0.0,0.0,0.0
0.1,theta,0.0,0.0,1.0,2.0,1.1,1.9,0,1,1.0020040273666382,1.0020040273666382,0.0,2.5319932817069457e-09,-0.0011548853944891144,0.06336592138573253,0.06452080678022165,-3.7957354379614117e-06,0.0,-0.0011548853944987059,-0.0030063556041568518,0.0,0.06336592137813568,5.0639865634138914e-09
0.1,theta,0.0,0.0,1.0,2.0,1.1,1.9,0,2,1.0040080547332764,1.0040080547332764,0.0,4.444642709433566e-10,-0.0022964803501970017,0.12459714710974135,0.12689362745993835,1.4460791817327845e-06,0.0,-0.0022964803501963615,-0.005911624524742365,0.0,0.12459714710712433,8.889285418867132e-10
0.1,theta,0.0,0.0,1.0,2.0,1.1,1.9,0,3,1.0060120820999146,1.0060120820999146,0.0,-9.003880419022892e-10,13.272397994995119,0.18369334935361867,-13.088704645641501,1.569994992678403e-06,0.0,13.272397994995117,-0.008716157637536526,0.0,0.18369334936141968,1.8007760838045783e-09
0.1,theta,0.0,0.0,1.0,2.0,1.1,1.9,0,4,1.0080159902572632,1.0080159902572632,0.0,-1.1102757602188262e-09,9.962400436401369,0.24065108596020776,-9.721749350441161,1.949449824678595e-06,0.0,9.962400436401367,-0.011419709771871567,0.0,0.24065108597278595,2.2205515204376525e-09
0.1,theta,0.0,0.0,1.0,2.0,1.1,1.9,0,5,1.0100200176239014,1.0100200176239014,0.0,1.421717410465817e-09,7.975793838500978,0.2954772710997555,-7.680316567401222,-1.0915259736066218e-06,0.0,7.975793838500977,-0.01402262132614851,0.0,0.2954772710800171,2.843434820931634e-09
0.1,theta,0.0,0.0,1.0,2.0,1.1,1.9,0,6,1.0120240449905396,1.0120240449905396,0.0,1.4641183820884862e-09,6.650989532470704,0.34816834332949437,-6.30282118914121,-5.069281314717955e-07,0.0,6.650989532470703,-0.016524646431207657,0.0,0.34816834330558777,2.9282367641769724e-09
0.1,theta,0.0,0.0,1.0,2.0,1.1,1.9,0,7,1.0140280723571777,1.0140280723571777,0.0,1.866181653653598e-09,5.704371452331545,0.3987246454110358,-5.3056468069205085,-9.545664170218515e-07,0.0,5.704371452331543,-0.018925802782177925,0.0,0.39872464537620544,3.732363307307196e-09
0.1,theta,0.0,0.0,1.0,2.0,1.1,1.9,0,8,1.016032099723816,1.016032099723816,0.0,7.128364565289758e-10,4.994143962860107,0.447145938888183,-4.546998023971924,1.7253343287393363e-07,0.0,4.994143962860107,-0.021226119250059128,0.0,0.447145938873291,1.4256729130579515e-09
0.1,theta,0.0,0.0,1.0,2.0,1.1,1.9,0,9,1.018036127090454,1.018036127090454,0.0,-4.171569756294957e-10,4.441497325897217,0.4934321641826007,-3.948065161714616,-9.55752170739288e-07,0.0,4.441497325897217,-0.023425566032528877,0.0,0.4934321641921997,8.343139512589914e-10
0.1,theta,0.0,0.0,1.0,2.0,1.1,1.9,0,10,1.0200400352478027,1.0200400352478027,0.0,1.3113781172080508e-09,3.9992060661315914,0.5375806689590532,-3.461625397172538,2.988207938869891e-07,0.0,3.999206066131592,-0.025524139404296875,0.0,0.537580668926239,2.6227562344161015e-09
0.1,theta,0.0,0.0,1.0,2.0,1.1,1.9,0,11,1.022044062614441,1.022044062614441,0.0,2.479469740634954e-09,3.6370818614959686,0.5795971155834305,-3.057484745912538,1.3541799717131653e-06,0.0,3.6370818614959717,-0.027521932497620583,0.0,0.5795971155166626,4.958939481269908e-09
0.1,theta,0.0,0.0,1.0,2.0,1.1,1.9,0,12,1.024048089981079,1.024048089981079,0.0,3.287899064119415e-09,3.3351337909698486,0.6194783450117523,-2.715655445958096,-1.837985053043667e-08,0.0,3.3351337909698486,-0.029418902471661568,0.0,0.6194783449172974,6.57579812823883e-09
0.1,theta,0.0,0.0,1.0,2.0,1.1,1.9,0,13,1.0260521173477173,1.0260521173477173,0.0,9.855113392021053e-10,3.0794847011566158,0.6572246551813489,-2.422260045975267,2.3715935526524845e-07,0.0,3.079484701156616,-0.031214982271194458,0.0,0.6572246551513672,1.9710226784042106e-09
0.1,theta,0.0,0.0,1.0,2.0,1.1,1.9,0,14,1.0280561447143555,1.0280561447143555,0.0,1.3875746107672171e-09,2.8602032661438,0.6928360462632912,-2.167367219880509,-1.1419223255870747e-06,0.0,2.860203266143799,-0.03291023150086403,0.0,0.6928360462188721,2.7751492215344342e-09
0.1,theta,0.0,0.0,1.0,2.0,1.1,1.9,0,15,1.0300601720809937,1.0300601720809937,0.0,2.1960040452739804e-09,2.670023441314701,0.7263122797747941,-1.9437111615399068,-1.7306704194197664e-06,0.0,2.6700234413146973,-0.034504663199186325,0.0,0.7263122797012329,4.392008090547961e-09
0.1,theta,0.0,0.0,1.0,2.0,1.1,1.9,0,16,1.0320640802383423,1.0320640802383423,0.0,2.752144734330386e-09,2.503478527069097,0.7576518059736798,-1.7458267210954173,-1.9773160602198914e-06,0.0,2.503478527069092,-0.035998158156871796,0.0,0.7576518058776855,5.504289468660772e-09
